Refseq_ID	ENSMBL_ID	Gene_Name
NM_001001130	ENSMUSG00000058331	Zfp85
NM_001001144	ENSMUSG00000032485	Scap
NM_001001152	ENSMUSG00000055480	Zfp458
NM_001001160	ENSMUSG00000047013	Fbxo41
NM_001001176	ENSMUSG00000047242	Taf9b
NM_001001177	ENSMUSG00000057246	BC051142
NM_001001178	ENSMUSG00000036641	Ccdc148
NM_001001179	ENSMUSG00000047228	A2ml1
NM_001001180	ENSMUSG00000060314	Zfp941
NM_001001181	ENSMUSG00000036299	BC031181
NM_001001182	ENSMUSG00000026987	Baz2b
NM_001001183	ENSMUSG00000024168	Tmem204
NM_001001184	ENSMUSG00000038225	Primpol
NM_001001185	ENSMUSG00000064063	BC048507
NM_001001186	ENSMUSG00000078995	Zfp456
NM_001001187	ENSMUSG00000048280	Zfp738
NM_001001295	ENSMUSG00000032396	Dis3l
NM_001001297	ENSMUSG00000048550	Thnsl1
NM_001001309	ENSMUSG00000026768	Itga8
NM_001001319	ENSMUSG00000073724	Pramel4
NM_001001320	ENSMUSG00000037477	Tbx10
NM_001001321	ENSMUSG00000033114	Slc35d2
NM_001001322	ENSMUSG00000014852	Adamts13
NM_001001326	ENSMUSG00000031024	St5
NM_001001327	ENSMUSG00000066735	Vkorc1l1
NM_001001332	ENSMUSG00000079594	BC117090
NM_001001333	ENSMUSG00000039307	Hexdc
NM_001001334	ENSMUSG00000037708	Spag6
NM_001001335	ENSMUSG00000005225	Plekha8
NM_001001444	ENSMUSG00000044249	Defb29
NM_001001445	ENSMUSG00000005952	Trpv1
NM_001001446	ENSMUSG00000025197	Cyp2c23
NM_001001447	ENSMUSG00000054715	Zscan22
NM_001001449	ENSMUSG00000094237	AF067063
NM_001001450	ENSMUSG00000023165	Ssxb2
NM_001001451	ENSMUSG00000058250	Tas2r138
NM_001001452	ENSMUSG00000046652	Tas2r143
NM_001001453	ENSMUSG00000051917	Tas2r144
NM_001001454	ENSMUSG00000030428	Ttyh1
NM_001001488	ENSMUSG00000039529	Atp8b1
NM_001001489	ENSMUSG00000038528	Mfsd4b5
NM_001001490	ENSMUSG00000044819	Oxgr1
NM_001001491	ENSMUSG00000031799	Tpm4
NM_001001492	ENSMUSG00000045275	Lca5l
NM_001001493	ENSMUSG00000059355	Wdr83os
NM_001001495	ENSMUSG00000044162	Tnip3
NM_001001496	ENSMUSG00000055691	Gja6
NM_001001559	ENSMUSG00000057321	Usp17ld
NM_001001565	ENSMUSG00000032997	Chpf
NM_001001566	ENSMUSG00000032997	Chpf
NM_001001602	ENSMUSG00000026883	Dab2ip
NM_001001650	ENSMUSG00000049013	Prss48
NM_001001714	ENSMUSG00000059625	Sohlh1
NM_001001735	ENSMUSG00000054823	Nsd3
NM_001001737	ENSMUSG00000074733	Zfp950
NM_001001738	ENSMUSG00000044948	Itprip
NM_001001792	ENSMUSG00000042097	Zfp239
NM_001001796	ENSMUSG00000041730	Prrxl1
NM_001001798	ENSMUSG00000108408	Atp11c
NM_001001798	ENSMUSG00000062949	Atp11c
NM_001001803	ENSMUSG00000060201	Spink7
NM_001001804	ENSMUSG00000033805	Ephx4
NM_001001805	ENSMUSG00000073962	Olfr576
NM_001001806	ENSMUSG00000045817	Zfp36l2
NM_001001807	ENSMUSG00000054036	Olfr279
NM_001001808	ENSMUSG00000044286	Olfr221
NM_001001809	ENSMUSG00000046643	Olfr218
NM_001001810	ENSMUSG00000062757	Olfr1206
NM_001001880	ENSMUSG00000026566	Mpzl1
NM_001001881	ENSMUSG00000043391	2510009E07Rik
NM_001001882	ENSMUSG00000038685	Rtel1
NM_001001883	ENSMUSG00000042807	Hecw2
NM_001001884	ENSMUSG00000023009	Nckap5l
NM_001001885	ENSMUSG00000061451	Tmem151a
NM_001001892	ENSMUSG00000061232	H2-K1
NM_001001932	ENSMUSG00000036499	Eea1
NM_001001979	ENSMUSG00000024593	Megf10
NM_001001980	ENSMUSG00000037736	Limch1
NM_001001981	ENSMUSG00000079470	Utp14b
NM_001001982	ENSMUSG00000045838	A430105I19Rik
NM_001001983	ENSMUSG00000041720	Pi4ka
NM_001001984	ENSMUSG00000054611	Kdm2a
NM_001001985	ENSMUSG00000048142	Nat8l
NM_001001986	ENSMUSG00000061411	Nol4l
NM_001001999	ENSMUSG00000050761	Gp1bb
NM_001002004	ENSMUSG00000010277	2610507B11Rik
NM_001002005	ENSMUSG00000058441	Panx2
NM_001002008	ENSMUSG00000067931	Zfp948
NM_001002011	ENSMUSG00000028063	Lmna
NM_001002012	ENSMUSG00000059970	Hspa2
NM_001002238	ENSMUSG00000025081	Tdrd1
NM_001002239	ENSMUSG00000062328	Rpl17
NM_001002240	ENSMUSG00000025081	Tdrd1
NM_001002241	ENSMUSG00000025081	Tdrd1
NM_001002267	ENSMUSG00000054871	Tmem158
NM_001002268	ENSMUSG00000039116	Adgrg6
NM_001002272	ENSMUSG00000025272	Tro
NM_001002764	ENSMUSG00000038290	Smg6
NM_001002786	ENSMUSG00000064147	Rab44
NM_001002787	ENSMUSG00000070999	Ccin
NM_001002791	ENSMUSG00000027468	Defb22
NM_001002842	ENSMUSG00000032739	Pram1
NM_001002846	ENSMUSG00000066892	Fbxl12
NM_001002894	ENSMUSG00000016626	Nlrp14
NM_001002895	ENSMUSG00000062753	AI413582
NM_001002896	ENSMUSG00000032556	Bfsp2
NM_001002897	ENSMUSG00000038295	Atg9b
NM_001002898	ENSMUSG00000095788	Sirpb1a
NM_001002900	ENSMUSG00000093550	Higd1c
NM_001002927	ENSMUSG00000045573	Penk
NM_001002929	ENSMUSG00000020739	Nup85
NM_001003393	ENSMUSG00000066756	Igfl3
NM_001003405	ENSMUSG00000036938	Try5
NM_001003664	ENSMUSG00000059014	Gm5409
NM_001003666	ENSMUSG00000055341	Zfp457
NM_001003667	ENSMUSG00000067594	Krt77
NM_001003668	ENSMUSG00000047641	Krt87
NM_001003670	ENSMUSG00000064232	Gm5414
NM_001003671	ENSMUSG00000103255	Pcdhac1
NM_001003672	ENSMUSG00000102697	Pcdhac2
NM_001003685	ENSMUSG00000004654	Ghrhr
NM_001003717	ENSMUSG00000020189	Osbpl8
NM_001003719	ENSMUSG00000021027	Ralgapa1
NM_001003817	ENSMUSG00000062312	Erbb2
NM_001003824	ENSMUSG00000016346	Kcnq2
NM_001003825	ENSMUSG00000016346	Kcnq2
NM_001003893	ENSMUSG00000028979	Masp2
NM_001003898	ENSMUSG00000041459	Tardbp
NM_001003899	ENSMUSG00000041459	Tardbp
NM_001003908	ENSMUSG00000047126	Cltc
NM_001003909	ENSMUSG00000040351	Ankib1
NM_001003910	ENSMUSG00000044937	Ttc41
NM_001003911	ENSMUSG00000032363	Adamts7
NM_001003912	ENSMUSG00000041977	Arhgef11
NM_001003913	ENSMUSG00000040354	Mars
NM_001003915	ENSMUSG00000041644	Slc5a12
NM_001003916	ENSMUSG00000035062	Zc4h2
NM_001003917	ENSMUSG00000033124	Atg9a
NM_001003918	ENSMUSG00000022710	Usp7
NM_001003919	ENSMUSG00000035842	Ddx11
NM_001003920	ENSMUSG00000035390	Brsk1
NM_001003933	ENSMUSG00000024758	Rtn3
NM_001003934	ENSMUSG00000024758	Rtn3
NM_001003939	ENSMUSG00000044937	Ttc41
NM_001003947	ENSMUSG00000047155	Cyp4x1
NM_001003948	ENSMUSG00000045658	Pid1
NM_001003949	ENSMUSG00000013858	Tmem259
NM_001003950	ENSMUSG00000064181	Rab3ip
NM_001003951	ENSMUSG00000058019	Ces5a
NM_001003952	ENSMUSG00000062833	Sval3
NM_001003953	ENSMUSG00000029475	Kdm2b
NM_001003955	ENSMUSG00000051343	Rab11fip5
NM_001003960	ENSMUSG00000027478	Dnmt3b
NM_001003961	ENSMUSG00000027478	Dnmt3b
NM_001003963	ENSMUSG00000027478	Dnmt3b
NM_001003972	ENSMUSG00000052917	Senp7
NM_001003973	ENSMUSG00000052917	Senp7
NM_001004025	ENSMUSG00000028310	Ppp3r2
NM_001004061	ENSMUSG00000035420	Fam170a
NM_001004062	ENSMUSG00000003575	Crtc1
NM_001004066	ENSMUSG00000042063	Zfp386
NM_001004139	ENSMUSG00000068959	Zfp619
NM_001004140	ENSMUSG00000037725	Ckap2
NM_001004141	ENSMUSG00000066097	Cyp2j11
NM_001004142	ENSMUSG00000116293	Nlrp1a
NM_001004142	ENSMUSG00000069830	Nlrp1a
NM_001004142	ENSMUSG00000116214	Nlrp1a
NM_001004142	ENSMUSG00000116286	Nlrp1a
NM_001004143	ENSMUSG00000042506	Usp22
NM_001004144	ENSMUSG00000011877	Git1
NM_001004147	ENSMUSG00000051062	Fbll1
NM_001004148	ENSMUSG00000020805	Slc13a5
NM_001004149	ENSMUSG00000050919	Zfp366
NM_001004150	ENSMUSG00000047878	A4galt
NM_001004151	ENSMUSG00000033383	Rtp1
NM_001004152	ENSMUSG00000044903	Psg22
NM_001004153	ENSMUSG00000054753	AU018091
NM_001004153	ENSMUSG00000107871	AU018091
NM_001004154	ENSMUSG00000041658	Rragb
NM_001004155	ENSMUSG00000044551	9930012K11Rik
NM_001004157	ENSMUSG00000038188	Scarf1
NM_001004158	ENSMUSG00000053868	Gm5142
NM_001004159	ENSMUSG00000067767	Clec4b2
NM_001004164	ENSMUSG00000035311	Gnptab
NM_001004173	ENSMUSG00000032908	Sgpp2
NM_001004174	ENSMUSG00000033213	AA467197
NM_001004174	ENSMUSG00000110868	AA467197
NM_001004176	ENSMUSG00000061143	Maml3
NM_001004177	ENSMUSG00000068740	Celsr2
NM_001004178	ENSMUSG00000087385	Frg2f1
NM_001004180	ENSMUSG00000041930	Fam222a
NM_001004182	ENSMUSG00000057716	Tmem178b
NM_001004184	ENSMUSG00000025726	Slc28a1
NM_001004185	ENSMUSG00000045795	Whamm
NM_001004187	ENSMUSG00000030924	Rexo5
NM_001004190	ENSMUSG00000045519	Zfp560
NM_001004191	ENSMUSG00000042293	Gm5617
NM_001004192	ENSMUSG00000050641	BC048562
NM_001004193	ENSMUSG00000097126	Rhox8
NM_001004193	ENSMUSG00000064137	Rhox8
NM_001004194	ENSMUSG00000045693	Nlrp4e
NM_001004293	ENSMUSG00000050947	Amigo1
NM_001004357	ENSMUSG00000039419	Cntnap2
NM_001004359	ENSMUSG00000043384	Gprasp1
NM_001004361	ENSMUSG00000024269	Tpgs2
NM_001004362	ENSMUSG00000060301	2610008E11Rik
NM_001004363	ENSMUSG00000020032	Nuak1
NM_001004364	ENSMUSG00000052632	Asap2
NM_001004365	ENSMUSG00000056367	Actr3b
NM_001004366	ENSMUSG00000038677	Scube3
NM_001004367	ENSMUSG00000044365	Cxxc4
NM_001004435	ENSMUSG00000046207	Pik3r6
NM_001004436	ENSMUSG00000041408	Wapl
NM_001004455	ENSMUSG00000062563	Cys1
NM_001004468	ENSMUSG00000030852	Tacc2
NM_001004721	ENSMUSG00000038383	Pigu
NM_001004761	ENSMUSG00000045967	Gpr158
NM_001004762	ENSMUSG00000033847	Pla2g4c
NM_001005223	ENSMUSG00000020526	Znhit3
NM_001005225	ENSMUSG00000075119	Olfr1197
NM_001005227	ENSMUSG00000075115	Olfr1200
NM_001005230	ENSMUSG00000075206	Olfr1024
NM_001005232	ENSMUSG00000030507	Dbx1
NM_001005247	ENSMUSG00000014418	Hps5
NM_001005248	ENSMUSG00000014418	Hps5
NM_001005341	ENSMUSG00000018427	Ypel2
NM_001005342	ENSMUSG00000034059	Ypel4
NM_001005343	ENSMUSG00000068859	Sp9
NM_001005358	ENSMUSG00000096696	Zfp960
NM_001005370	ENSMUSG00000046550	Spin2c
NM_001005371	ENSMUSG00000059218	Gm13084
NM_001005385	ENSMUSG00000043384	Gprasp1
NM_001005419	ENSMUSG00000116486	Ado
NM_001005419	ENSMUSG00000057134	Ado
NM_001005420	ENSMUSG00000035829	Ppp1r26
NM_001005421	ENSMUSG00000048534	Jaml
NM_001005422	ENSMUSG00000063529	Stmnd1
NM_001005423	ENSMUSG00000039395	Mreg
NM_001005424	ENSMUSG00000029419	Gm996
NM_001005425	ENSMUSG00000056824	Zfp663
NM_001005426	ENSMUSG00000037108	Zcwpw1
NM_001005475	ENSMUSG00000041115	Iqsec2
NM_001005477	ENSMUSG00000034384	Barhl2
NM_001005481	ENSMUSG00000067186	Olfr132
NM_001005485	ENSMUSG00000090675	Olfr111
NM_001005488	ENSMUSG00000066242	Olfr467
NM_001005506	ENSMUSG00000053841	Txlna
NM_001005507	ENSMUSG00000042772	Smg7
NM_001005508	ENSMUSG00000048865	Arhgap30
NM_001005509	ENSMUSG00000027810	Eif2a
NM_001005510	ENSMUSG00000063450	Syne2
NM_001005511	ENSMUSG00000062044	Lmtk3
NM_001005520	ENSMUSG00000046486	Olfr231
NM_001005524	ENSMUSG00000063020	Olfr194
NM_001005525	ENSMUSG00000029422	Rsrc2
NM_001005568	ENSMUSG00000095156	Olfr1281
NM_001005569	ENSMUSG00000068947	Olfr366
NM_001005570	ENSMUSG00000069390	Olfr707
NM_001005605	ENSMUSG00000030232	Aebp2
NM_001005608	ENSMUSG00000020758	Itgb4
NM_001005740	ENSMUSG00000054728	Phactr1
NM_001005748	ENSMUSG00000054728	Phactr1
NM_001005767	ENSMUSG00000033918	Parl
NM_001005784	ENSMUSG00000061859	Patj
NM_001005787	ENSMUSG00000061859	Patj
NM_001005788	ENSMUSG00000064141	Zfp69
NM_001005846	ENSMUSG00000011008	Mcoln2
NM_001005847	ENSMUSG00000031521	Aga
NM_001005854	ENSMUSG00000053182	Gm609
NM_001005858	ENSMUSG00000062488	Ifit3b
NM_001005859	ENSMUSG00000062006	Rpl34
NM_001005860	ENSMUSG00000059639	Clec4a4
NM_001005863	ENSMUSG00000045636	Mtus1
NM_001005864	ENSMUSG00000045636	Mtus1
NM_001005865	ENSMUSG00000045636	Mtus1
NM_001005867	ENSMUSG00000041164	Zmiz2
NM_001005868	ENSMUSG00000021709	Erbin
NM_001005916	ENSMUSG00000079605	Zbtb9
NM_001006664	ENSMUSG00000027624	Epb41l1
NM_001006668	ENSMUSG00000016346	Kcnq2
NM_001006669	ENSMUSG00000016346	Kcnq2
NM_001006674	ENSMUSG00000016346	Kcnq2
NM_001007077	ENSMUSG00000066031	Gm13023
NM_001007154	ENSMUSG00000027525	Phactr3
NM_001007220	ENSMUSG00000040537	Adam22
NM_001007221	ENSMUSG00000040537	Adam22
NM_001007222	ENSMUSG00000103362	Tdpoz2
NM_001007223	ENSMUSG00000008874	Clec3a
NM_001007266	ENSMUSG00000059763	Taar2
NM_001007268	ENSMUSG00000021768	Dusp13
NM_001007460	ENSMUSG00000036304	Zdhhc23
NM_001007461	ENSMUSG00000064224	Gsdma3
NM_001007462	ENSMUSG00000069867	Pabpn1l
NM_001007463	ENSMUSG00000066196	Spag8
NM_001007465	ENSMUSG00000020696	Rffl
NM_001007472	ENSMUSG00000068302	Noto
NM_001007567	ENSMUSG00000033106	Slc7a6os
NM_001007568	ENSMUSG00000022526	Zfp251
NM_001007569	ENSMUSG00000041141	Pnmal1
NM_001007570	ENSMUSG00000002346	Slc25a42
NM_001007571	ENSMUSG00000019362	D8Ertd738e
NM_001007572	ENSMUSG00000036899	Trpv5
NM_001007573	ENSMUSG00000042763	Maneal
NM_001007574	ENSMUSG00000111375	A830010M20Rik
NM_001007575	ENSMUSG00000071291	Zfp58
NM_001007576	ENSMUSG00000042282	Gucy2f
NM_001007577	ENSMUSG00000051224	Tceanc
NM_001007578	ENSMUSG00000050394	Armcx6
NM_001007579	ENSMUSG00000097856	BC080695
NM_001007579	ENSMUSG00000070618	BC080695
NM_001007580	ENSMUSG00000033737	Fndc3c1
NM_001007581	ENSMUSG00000039725	Trp53rka
NM_001007582	ENSMUSG00000058618	AY761184
NM_001007583	ENSMUSG00000020169	Best3
NM_001007584	ENSMUSG00000056008	Gm11541
NM_001007589	ENSMUSG00000028291	Akirin2
