Chromosome	Start	End	ID	empty_Input	empty_H3K27ac	sg1.4_H3K27ac	sg5.8_H3K27ac	class
chr1	6982932	6985932	ESCTE35	14.328557	14.17521	15.705862	15.302779	RLTR13D6
chr1	8093183	8096183	ESCTE50	7.3308897	14.558324	13.013429	18.861565	RLTR13D6
chr1	8580631	8583631	ESCTE56	10.663113	61.298206	45.32263	66.54929	RLTR13D6
chr1	13810786	13813786	ESCTE90	2.6657782	4.2142515	5.833606	6.049936	RLTR13D6
chr1	13819148	13822148	ESCTE91	4.6651115	1.5324552	2.6924336	3.9146643	RLTR13D6
chr1	14732813	14735813	ESCTE95	10.996335	9.194731	12.56469	8.185207	RLTR13D6
chr1	15728412	15731412	ESCTE96	10.996335	8.045389	10.320995	13.879265	RLTR13D6
chr1	17825986	17828986	ESCTE104	6.6644454	7.662276	8.077301	4.9823003	RLTR13D6
chr1	17930781	17933781	ESCTE106	6.9976673	46.739883	26.475595	53.02591	RLTR13D6
chr1	18245019	18248019	ESCTE109	8.997001	21.454372	16.154602	18.861565	RLTR13D6
chr1	18267400	18270400	ESCTE110	10.996335	27.584192	21.539469	26.335014	RLTR13D6
chr1	27071715	27074715	ESCTE127	7.997334	3.831138	7.6285615	6.049936	RLTR13D6
chr1	27072664	27075664	ESCTE128	8.997001	3.831138	6.282345	6.049936	RLTR13D6
chr1	29523861	29526861	ESCTE134	6.6644454	4.5973654	4.0386505	4.270543	RLTR13D6
chr1	44233185	44236185	ESCTE156	8.997001	9.9609585	10.320995	6.4058146	RLTR13D6
chr1	45077413	45080413	ESCTE161	10.663113	7.662276	5.833606	6.761693	RLTR13D6
chr1	45084062	45087062	ESCTE162	10.663113	6.512934	7.6285615	8.185207	RLTR13D6
chr1	45085520	45088520	ESCTE163	8.997001	9.577845	5.833606	9.252843	RLTR13D6
chr1	45087412	45090412	ESCTE164	10.996335	7.662276	8.526039	6.761693	RLTR13D6
chr1	45552857	45555857	ESCTE166	10.32989	9.577845	12.115951	6.761693	RLTR13D6
chr1	53428588	53431588	ESCTE207	8.663778	6.896048	4.936128	5.6940575	RLTR13D6
chr1	56666773	56669773	ESCTE219	11.662779	15.707665	13.462168	20.285078	RLTR13D6
chr1	57280286	57283286	ESCTE220	7.997334	15.707665	15.705862	16.726294	RLTR13D6
chr1	67469640	67472640	ESCTE248	8.330557	6.512934	3.5899115	4.9823003	RLTR13D6
chr1	73619618	73622618	ESCTE254	9.330223	11.1103	13.013429	13.167507	RLTR13D6
chr1	78206091	78209091	ESCTE258	11.662779	13.408982	13.462168	9.608722	RLTR13D6
chr1	88187893	88190893	ESCTE266	12.329224	9.577845	10.320995	9.252843	RLTR13D6
chr1	90885304	90888304	ESCTE269	12.662446	14.558324	8.077301	8.541086	RLTR13D6
chr1	90890608	90893608	ESCTE270	13.995335	14.558324	3.5899115	15.658657	RLTR13D6
chr1	98666191	98669191	ESCTE289	11.329556	19.921917	16.60334	17.438051	RLTR13D6
chr1	99170698	99173698	ESCTE290	9.330223	9.194731	7.6285615	8.896964	RLTR13D6
chr1	101917017	101920017	ESCTE302	10.32989	32.181557	24.680641	35.23198	RLTR13D6
chr1	101917601	101920601	ESCTE303	8.997001	31.032217	23.334423	32.384953	RLTR13D6
chr1	102061083	102064083	ESCTE304	10.32989	5.746707	14.808384	7.8293285	RLTR13D6
chr1	102313319	102316319	ESCTE308	5.664778	13.408982	13.013429	6.761693	RLTR13D6
chr1	107567217	107570217	ESCTE323	7.997334	5.363593	10.320995	8.541086	RLTR13D6
chr1	107567830	107570830	ESCTE324	7.3308897	6.512934	8.526039	7.8293285	RLTR13D6
chr1	108547458	108550458	ESCTE325	10.32989	16.857006	21.988207	20.996836	RLTR13D6
chr1	117648992	117651992	ESCTE362	9.663445	14.17521	12.115951	16.726294	RLTR13D6
chr1	117815033	117818033	ESCTE363	6.6644454	9.9609585	9.423517	10.320478	RLTR13D6
chr1	117917041	117920041	ESCTE364	9.663445	8.045389	7.6285615	9.252843	RLTR13D6
chr1	117923612	117926612	ESCTE365	5.9980006	3.831138	2.2436945	6.761693	RLTR13D6
chr1	118002691	118005691	ESCTE366	11.662779	24.519283	17.500818	14.9469	RLTR13D6
chr1	127141985	127144985	ESCTE374	11.996001	9.577845	11.218473	9.252843	RLTR13D6
chr1	127142752	127145752	ESCTE375	12.662446	7.662276	8.974778	9.252843	RLTR13D6
chr1	127999598	128002598	ESCTE377	13.995335	40.61006	22.436947	19.929201	RLTR13D6
chr1	139411128	139414128	ESCTE384	10.996335	15.707665	10.769734	22.064472	RLTR13D6
