chr	start	end	strand	repName	ID	mappability
chr1	3062676	3063061	-	RLTR9D2	ESCTE1	0.8704663
chr1	3228621	3228948	+	RLTR9A3	ESCTE2	1
chr1	3247756	3248083	+	RLTR9A3	ESCTE3	1
chr1	3340843	3340896	+	RLTR9D2	ESCTE4	1
chr1	3344196	3344569	+	RLTR9D2	ESCTE5	0.973262
chr1	3446579	3446898	+	RLTR9A3	ESCTE6	1
chr1	3681585	3681895	+	RLTR9A3	ESCTE7	1
chr1	3913291	3913719	-	RLTR9F	ESCTE8	1
chr1	3946913	3947265	-	RLTR9A3	ESCTE9	1
chr1	3953467	3953864	-	RLTR9E	ESCTE10	0.92462313
chr1	3977142	3977539	+	RLTR9E	ESCTE11	1
chr1	3982690	3983094	+	RLTR9E	ESCTE12	1
chr1	4059188	4059604	-	RLTR9D	ESCTE13	0.8561151
chr1	4150725	4151108	-	RLTR9D2	ESCTE14	0.921875
chr1	4394757	4395161	+	RLTR9F	ESCTE15	0.9506173
chr1	4401098	4401156	+	RLTR9D	ESCTE16	1
chr1	4611787	4612175	-	RLTR9F	ESCTE17	0.92287916
chr1	4660050	4660456	-	RLTR9D	ESCTE18	0.9017199
chr1	4802595	4802944	+	RLTR9D	ESCTE19	0.9714286
chr1	4803091	4803167	+	RLTR9D	ESCTE20	1
chr1	5227957	5228349	+	RLTR9E	ESCTE21	0.9236641
chr1	5241835	5242182	+	RLTR9A3B	ESCTE22	1
chr1	5420815	5421146	+	RLTR9A3A	ESCTE23	1
chr1	5436660	5436997	+	RLTR9A3A	ESCTE24	1
chr1	5516261	5516429	+	RLTR9B2	ESCTE25	1
chr1	5516429	5516768	+	RLTR9C	ESCTE26	0.88235295
chr1	5516768	5517023	+	RLTR9B2	ESCTE27	1
chr1	5538791	5538945	+	RLTR9A3B	ESCTE28	1
chr1	5778648	5779009	+	RLTR9A3B	ESCTE29	1
chr1	6015523	6015924	-	RLTR9A2	ESCTE30	1
chr1	6082668	6083022	-	RLTR9A3A	ESCTE31	1
chr1	6270099	6270452	-	RLTR9A	ESCTE32	1
chr1	6377396	6377810	-	RLTR9E	ESCTE33	0.8795181
chr1	6898284	6898642	+	RLTR9D2	ESCTE34	1
chr1	6983975	6984890	-	RLTR13D6	ESCTE35	0.92358077
chr1	7010910	7011313	+	RLTR9D	ESCTE36	0.9752475
chr1	7015097	7015154	+	RLTR9D	ESCTE37	1
chr1	7055799	7056098	+	RLTR9D	ESCTE38	0.96666664
chr1	7057903	7058014	+	RLTR9D	ESCTE39	1
chr1	7069972	7070354	-	RLTR9B	ESCTE40	0.97389036
chr1	7121450	7121763	-	RLTR9A	ESCTE41	1
chr1	7124637	7125020	-	RLTR9E	ESCTE42	0.9479167
chr1	7129736	7130119	-	RLTR9E	ESCTE43	0.8958333
chr1	7133235	7133599	-	RLTR9A	ESCTE44	1
chr1	7299299	7299675	+	RLTR9E	ESCTE45	1
chr1	7319434	7319766	+	RLTR9A3	ESCTE46	1
chr1	7440524	7440861	+	RLTR9A3	ESCTE47	1
chr1	7499144	7499565	+	RLTR9C	ESCTE48	1
chr1	7586479	7586892	+	RLTR9D2	ESCTE49	0.9758454
chr1	8094271	8095096	+	RLTR13D6	ESCTE50	0.8789346
chr1	8097077	8097476	+	RLTR9D	ESCTE51	1
chr1	8312221	8312356	-	RLTR9C	ESCTE52	1
chr1	8327459	8327565	+	RLTR9A3A	ESCTE53	1
chr1	8327572	8327632	+	RLTR9A3B	ESCTE54	1
chr1	8535195	8535626	+	RLTR9B2	ESCTE55	1
chr1	8581669	8582593	+	RLTR13D6	ESCTE56	0.96756756
chr1	8625583	8626015	+	RLTR9E	ESCTE57	0.95381063
chr1	8652942	8653308	+	RLTR9A	ESCTE58	1
chr1	8697055	8697463	+	RLTR9A2	ESCTE59	1
chr1	8936109	8936519	+	RLTR9E	ESCTE60	0.8540146
chr1	8941475	8941894	+	RLTR9E	ESCTE61	0.9285714
chr1	9349935	9350364	-	RLTR9E	ESCTE62	0.9767442
chr1	10171159	10171531	+	RLTR9E	ESCTE63	0.91957104
chr1	10395684	10396061	+	RLTR9E	ESCTE64	0.9206349
chr1	10647056	10647459	+	RLTR9B	ESCTE65	1
chr1	10875188	10875231	-	RLTR9D	ESCTE66	1
chr1	10875203	10875279	-	RLTR9D	ESCTE67	1
chr1	10957040	10957364	-	RLTR9A3	ESCTE68	1
chr1	10968887	10969228	+	RLTR9A	ESCTE69	1
chr1	11314987	11315392	-	RLTR9C	ESCTE70	1
chr1	11330143	11330450	-	RLTR9A3	ESCTE71	1
chr1	11395577	11395692	-	RLTR9B	ESCTE72	1
chr1	11401043	11401442	-	RLTR9A2	ESCTE73	1
chr1	11467027	11467402	-	RLTR9D2	ESCTE74	1
chr1	11492756	11493177	-	RLTR9C	ESCTE75	0.97630334
chr1	11528416	11528850	-	RLTR9B	ESCTE76	1
chr1	12020738	12021119	+	RLTR9E	ESCTE77	0.973822
chr1	12034013	12034413	+	RLTR9A2	ESCTE78	1
chr1	12126757	12127171	+	RLTR9E	ESCTE79	0.90361446
chr1	12312631	12313033	-	RLTR9D	ESCTE80	0.9503722
chr1	12587015	12587398	+	RLTR9E	ESCTE81	0.84375
chr1	12592658	12593066	+	RLTR9E	ESCTE82	0.85330075
chr1	12930817	12931201	+	RLTR9A	ESCTE83	1
chr1	13015872	13016219	+	RLTR9A2	ESCTE84	1
chr1	13037187	13037592	+	RLTR9B	ESCTE85	0.92610836
chr1	13506811	13507204	-	RLTR9D	ESCTE86	0.7614213
chr1	13518294	13518690	-	RLTR9D	ESCTE87	1
chr1	13525249	13525654	-	RLTR9B2	ESCTE88	1
chr1	13795282	13795609	+	RLTR9A3	ESCTE89	1
chr1	13811985	13812588	+	RLTR13D6	ESCTE90	0.91721857
chr1	13820564	13820733	+	RLTR13D6	ESCTE91	1
chr1	14079589	14080067	+	RLTR9F	ESCTE92	0.87473905
chr1	14631834	14632233	-	RLTR9E	ESCTE93	1
chr1	14687935	14688350	-	RLTR9E	ESCTE94	0.6394231
chr1	14733844	14734782	+	RLTR13D6	ESCTE95	0.86155486
chr1	15729441	15730384	-	RLTR13D6	ESCTE96	0.8622881
chr1	15963723	15964092	-	RLTR9A	ESCTE97	1
chr1	16719525	16719884	-	RLTR9A	ESCTE98	1
chr1	16867033	16867414	-	RLTR9E	ESCTE99	1
chr1	16881455	16881869	-	RLTR9E	ESCTE100	0.90361446
chr1	17207644	17208060	+	RLTR9F	ESCTE101	0.92805755
chr1	17250805	17251220	+	RLTR9E	ESCTE102	1
chr1	17678576	17678903	+	RLTR9A	ESCTE103	1
chr1	17827277	17827695	+	RLTR13D6	ESCTE104	0.9522673
chr1	17846311	17846707	-	RLTR9B2	ESCTE105	1
chr1	17931847	17932716	-	RLTR13D6	ESCTE106	0.954023
chr1	18030298	18030607	+	RLTR9A3A	ESCTE107	1
chr1	18170611	18171016	-	RLTR9B2	ESCTE108	1
chr1	18246123	18246915	-	RLTR13D6	ESCTE109	0.9747793
chr1	18268624	18269176	+	RLTR13D6	ESCTE110	0.96383363
chr1	21386733	21387068	+	RLTR9A3	ESCTE111	1
chr1	22046297	22046705	+	RLTR9E	ESCTE112	0.9755501
chr1	22741149	22741317	+	RLTR9E	ESCTE113	1
chr1	22995647	22996031	-	RLTR9E	ESCTE114	0.8701299
chr1	23601242	23601429	-	RLTR9F	ESCTE115	0.89361703
chr1	24859730	24860100	-	RLTR9F	ESCTE116	1
chr1	25001161	25001451	+	RLTR9E	ESCTE117	0.9656357
chr1	25001508	25001591	+	RLTR9E	ESCTE118	1
chr1	25006685	25007053	-	RLTR9A	ESCTE119	1
chr1	25012825	25013110	+	RLTR9A3	ESCTE120	1
chr1	25048748	25049001	-	RLTR9D	ESCTE121	1
chr1	25887875	25888286	-	RLTR9E	ESCTE122	0.92718446
chr1	26339805	26340209	-	RLTR9E	ESCTE123	0.8765432
chr1	26466886	26467077	+	RLTR9F	ESCTE124	0.9479167
chr1	26891583	26891957	+	RLTR9D	ESCTE125	0.94666666
chr1	26916047	26916395	-	RLTR9A2	ESCTE126	1
chr1	27073040	27073391	+	RLTR13D6	ESCTE127	0.85795456
chr1	27073912	27074417	+	RLTR13D6	ESCTE128	0.9802371
chr1	27267689	27268071	+	RLTR9E	ESCTE129	1
chr1	27470854	27471245	+	RLTR9E	ESCTE130	1
chr1	28197849	28197888	+	RLTR9A3B	ESCTE131	1
chr1	28859003	28859359	-	RLTR9D2	ESCTE132	0.9439776
chr1	28933590	28933932	+	RLTR9F	ESCTE133	1
chr1	29524882	29525841	+	RLTR13D6	ESCTE134	0.9791667
chr1	29717813	29718147	-	RLTR9A3	ESCTE135	1
chr1	30973913	30974303	+	RLTR9E	ESCTE136	0.8976982
chr1	31103481	31103686	+	RLTR9A3B	ESCTE137	1
chr1	31104090	31104234	+	RLTR9A3	ESCTE138	1
chr1	31290700	31291091	-	RLTR9E	ESCTE139	1
chr1	31308853	31309200	+	RLTR9A	ESCTE140	0.9425287
chr1	31678623	31679044	+	RLTR9E	ESCTE141	1
chr1	31931349	31931740	-	RLTR9E	ESCTE142	0.8469388
chr1	31937767	31938186	-	RLTR9E	ESCTE143	0.85714287
chr1	32212134	32212452	-	RLTR9D	ESCTE144	1
chr1	32685748	32686137	-	RLTR9D	ESCTE145	0.94871795
chr1	32719783	32720149	+	RLTR9D2	ESCTE146	0.97275203
chr1	33830630	33830660	+	RLTR9A3A	ESCTE147	1
chr1	33830703	33831003	+	RLTR9A3A	ESCTE148	1
chr1	34993282	34993635	+	RLTR9E	ESCTE149	0.8587571
chr1	35022647	35022928	+	RLTR9E	ESCTE150	1
chr1	37205692	37206101	+	RLTR9E	ESCTE151	1
chr1	42022803	42023177	+	RLTR9D2	ESCTE152	1
chr1	42436668	42437082	+	RLTR9E	ESCTE153	1
chr1	42866133	42866485	+	RLTR9A3	ESCTE154	1
chr1	43941459	43941864	-	RLTR9D	ESCTE155	0.9507389
chr1	44234191	44235179	-	RLTR13D6	ESCTE156	0.8685541
chr1	44331942	44332113	-	RLTR9E	ESCTE157	0.88372093
chr1	44807496	44807845	-	RLTR9A3	ESCTE158	1
chr1	44990846	44991209	-	RLTR9A3B	ESCTE159	1
chr1	45001276	45001591	-	RLTR9A3B	ESCTE160	1
chr1	45078534	45079292	-	RLTR13D6	ESCTE161	0.6179183
chr1	45085456	45085668	-	RLTR13D6	ESCTE162	1
chr1	45086549	45087491	-	RLTR13D6	ESCTE163	0.66065747
chr1	45088448	45089377	-	RLTR13D6	ESCTE164	0.97849464
chr1	45357944	45358324	-	RLTR9D2	ESCTE165	0.9737533
chr1	45553874	45554841	+	RLTR13D6	ESCTE166	0.9483471
chr1	45575078	45575475	-	RLTR9F	ESCTE167	1
chr1	45727896	45728324	+	RLTR9B2	ESCTE168	1
chr1	45747423	45747833	-	RLTR9C	ESCTE169	0.9756691
chr1	46152964	46153010	-	RLTR9D	ESCTE170	1
chr1	46377837	46378271	-	RLTR9B2	ESCTE171	1
chr1	46619626	46620011	-	RLTR9F	ESCTE172	0.9481865
chr1	46624096	46624483	-	RLTR9F	ESCTE173	0.9484536
chr1	46649743	46650145	-	RLTR9D	ESCTE174	0.9503722
chr1	46930706	46931036	+	RLTR9A3	ESCTE175	1
chr1	47009132	47009499	-	RLTR9A	ESCTE176	1
chr1	47076518	47076921	+	RLTR9E	ESCTE177	1
chr1	47116719	47117021	-	RLTR9E	ESCTE178	0.9009901
chr1	47207494	47207861	+	RLTR9D2	ESCTE179	0.9456522
chr1	47488626	47489028	+	RLTR9B2	ESCTE180	1
chr1	47820979	47821320	+	RLTR9A	ESCTE181	1
chr1	47827120	47827502	-	RLTR9E	ESCTE182	0.94778067
chr1	47974668	47974983	-	RLTR9A3A	ESCTE183	1
chr1	48036915	48037025	-	RLTR9A3A	ESCTE184	1
chr1	48151418	48151719	-	RLTR9A3	ESCTE185	1
chr1	48641323	48641755	+	RLTR9F	ESCTE186	1
chr1	49149979	49150383	+	RLTR9E	ESCTE187	1
chr1	49347473	49347855	+	RLTR9E	ESCTE188	0.97389036
chr1	49354033	49354450	+	RLTR9E	ESCTE189	0.97607654
chr1	49402669	49403081	+	RLTR9E	ESCTE190	1
chr1	49453022	49453376	-	RLTR9A3B	ESCTE191	1
chr1	49464329	49464669	+	RLTR9A	ESCTE192	1
chr1	49708678	49709101	-	RLTR9B	ESCTE193	1
chr1	49879183	49879567	+	RLTR9E	ESCTE194	1
chr1	49886003	49886413	+	RLTR9E	ESCTE195	1
chr1	50004828	50005243	+	RLTR9D	ESCTE196	0.97596157
chr1	50400198	50400579	+	RLTR9E	ESCTE197	1
chr1	50799799	50800137	-	RLTR9A3B	ESCTE198	1
chr1	51960359	51960621	-	RLTR9A2	ESCTE199	1
chr1	52527391	52527755	+	RLTR9A3	ESCTE200	1
chr1	52934925	52935251	+	RLTR9A3A	ESCTE201	1
chr1	52939126	52939476	+	RLTR9A3A	ESCTE202	1
chr1	53378160	53378582	+	RLTR9B2	ESCTE203	1
chr1	53393947	53394347	+	RLTR9D	ESCTE204	1
chr1	53395724	53395860	+	RLTR9D	ESCTE205	1
chr1	53413091	53413529	+	RLTR9B	ESCTE206	1
chr1	53430038	53430138	+	RLTR13D6	ESCTE207	1
chr1	53575425	53575848	+	RLTR9B	ESCTE208	1
chr1	53576885	53577066	+	RLTR9B	ESCTE209	1
chr1	53581384	53581761	+	RLTR9D	ESCTE210	0.97354496
chr1	53606492	53606881	+	RLTR9E	ESCTE211	0.974359
chr1	53745946	53746350	+	RLTR9E	ESCTE212	0.90123457
chr1	55102510	55102910	-	RLTR9F	ESCTE213	1
chr1	55235260	55235643	+	RLTR9F	ESCTE214	1
chr1	55279165	55279555	+	RLTR9E	ESCTE215	1
chr1	55351984	55352367	+	RLTR9E	ESCTE216	1
chr1	55832577	55832996	-	RLTR9B	ESCTE217	0.95238096
chr1	56134976	56135260	+	RLTR9A	ESCTE218	1
chr1	56667783	56668763	+	RLTR13D6	ESCTE219	0.9082569
chr1	57281332	57282241	-	RLTR13D6	ESCTE220	0.95604396
chr1	58226305	58226338	+	RLTR9E	ESCTE221	1
chr1	58424647	58424868	+	RLTR9D2	ESCTE222	1
chr1	58425006	58425143	+	RLTR9D2	ESCTE223	0.7826087
chr1	58511647	58511977	+	RLTR9A3	ESCTE224	1
chr1	58516122	58516472	+	RLTR9A3	ESCTE225	1
chr1	58684303	58684734	+	RLTR9B2	ESCTE226	1
chr1	58690101	58690526	+	RLTR9B2	ESCTE227	1
chr1	58761871	58762267	-	RLTR9D	ESCTE228	0.7984887
chr1	58769009	58769403	-	RLTR9D	ESCTE229	0.9493671
chr1	58879246	58879622	-	RLTR9D	ESCTE230	1
chr1	58879813	58879860	-	RLTR9D	ESCTE231	1
chr1	58885523	58885935	-	RLTR9D	ESCTE232	1
chr1	58889905	58890336	+	RLTR9B2	ESCTE233	0.9768519
chr1	59697640	59698041	-	RLTR9D	ESCTE234	1
chr1	60047529	60047936	+	RLTR9D	ESCTE235	0.9754902
chr1	60432403	60432822	-	RLTR9B2	ESCTE236	1
chr1	60818483	60818855	-	RLTR9D2	ESCTE237	0.81233245
chr1	65535650	65535993	-	RLTR9A3	ESCTE238	1
chr1	65681951	65682208	-	RLTR9A2	ESCTE239	1
