Probe	Chromosome	Start	End	Strand	ES_E14	ES_J1	TS_EGFP	TS_Rs26
Xkr4	1	3205901	3671498	-	-4.318452	-4.5370774	-7.5442643	-3.5250819
Gm1992	1	3466587	3513553	+	-3.3224971	-2.8890457	-3.088878	-2.7701356
Rp1	1	4343507	4360314	-	-8.230926	-7.7974744	-7.997307	-7.6785645
Sox17	1	4490928	4496413	-	-5.827677	-2.4873347	-6.746061	-6.4273186
Mrpl15	1	4773206	4785739	-	3.1500335	3.4965193	2.3931754	2.3588078
Lypla1	1	4807788	4886770	+	4.243548	4.1351733	2.6081614	2.7262692
Tcea1	1	4857814	4897909	+	6.4085064	6.401798	5.4497933	5.0879607
Gm6104	1	4879202	4880669	-	-5.8763494	-5.442898	-4.4907265	-5.3239875
Rgs20	1	4909576	5070285	-	-3.7947862	-1.2972047	-4.435636	-2.5319314
Gm16041	1	4970857	4976820	+	-6.0677342	-6.786286	-6.9861183	-6.667376
Atp6v1h	1	5083173	5162549	+	3.320629	3.6683917	4.13718	3.543943
Oprk1	1	5588493	5606131	+	-4.774776	-4.9262877	-6.1261196	-5.8073773
Npbwr1	1	5913707	5917398	-	-7.206899	-6.7734485	-6.97328	-6.6545377
Rb1cc1	1	6206197	6276648	+	1.7381961	1.9243838	0.95620066	1.4952092
4732440D04Rik	1	6213293	6214590	-	-3.8947074	-3.4612565	-3.6610885	-1.3423461
4732440D04Rik	1	6214612	6215292	-	-4.7682233	-4.3347726	-4.5346045	-4.2158623
Fam150a	1	6359331	6394731	+	-4.9495435	-4.6680956	-4.867927	-4.549185
St18	1	6487231	6860940	+	-8.021605	-7.5881534	-7.7879853	-7.469243
Pcmtd1	1	7088920	7173626	+	3.8752372	3.247923	1.3836733	1.8776997
Gm9826	1	7177739	7179037	+	-5.547895	-4.1144443	-3.7293139	-4.995534
Sntg1	1	8361475	9299878	-	-6.358578	-6.925127	-8.276962	-7.95822
Rrs1	1	9545408	9547454	+	4.56831	4.375378	4.4818554	3.5986547
Adhfe1	1	9547948	9577970	+	-5.3193197	-3.4708312	-6.670663	-6.3519206
2610203C22Rik	1	9560832	9631175	-	-7.61822	-7.1847687	-7.3846006	-5.913855
3110035E14Rik	1	9601199	9627143	+	-6.8735948	-6.5921464	-6.791979	-6.4732366
Mybl1	1	9667415	9700209	-	1.4682477	1.1466429	-0.33916035	1.511803
Vcpip1	1	9718622	9748382	-	1.9515196	1.9348052	2.5302517	2.52602
