chr	start	end	strand	repName	ID	mappability
chr1	3592683	3593508	+	RLTR13B4	TSCTE1	0.6731235
chr1	3727470	3728494	+	RLTR13D5	TSCTE2	0.9804878
chr1	3798298	3798710	-	RLTR13D5	TSCTE3	1
chr1	3799145	3799392	-	RLTR13D5	TSCTE4	0.46774194
chr1	3804249	3804843	-	RLTR13D5	TSCTE5	1
chr1	4518540	4518611	+	RLTR13B2	TSCTE6	1
chr1	5518061	5518189	-	RLTR13D5	TSCTE7	1
chr1	5518357	5519210	-	RLTR13B4	TSCTE8	0.8126464
chr1	5879071	5879423	+	RLTR13D5	TSCTE9	0.9433428
chr1	5879417	5879871	+	RLTR13D5	TSCTE10	1
chr1	6392156	6392491	+	RLTR13B1	TSCTE11	1
chr1	7881378	7882197	-	RLTR13B2	TSCTE12	0.085365854
chr1	7888870	7889689	-	RLTR13B2	TSCTE13	0.1097561
chr1	7988136	7989149	-	RLTR13D5	TSCTE14	0.9506903
chr1	9367049	9367965	-	RLTR13B1	TSCTE15	0.5747001
chr1	9520033	9520998	+	RLTR13B1	TSCTE16	0.73084885
chr1	9767841	9768125	-	RLTR13D5	TSCTE17	0.8596491
chr1	10512910	10513814	+	RLTR13B3	TSCTE18	0.74585634
chr1	10870298	10871230	-	RLTR13B3	TSCTE19	0.19614148
chr1	12394549	12395438	-	RLTR13B1	TSCTE20	0.80898875
chr1	13823547	13823626	-	RLTR13B2	TSCTE21	1
chr1	15029551	15030459	-	RLTR13D5	TSCTE22	0.669967
chr1	15051288	15052110	-	RLTR13B2	TSCTE23	0.14945322
chr1	15079168	15080178	-	RLTR13D5	TSCTE24	0.75272006
chr1	15754660	15755510	-	RLTR13B1	TSCTE25	0.9059929
chr1	16552964	16553958	-	RLTR13D5	TSCTE26	0.7085427
chr1	17433902	17434780	+	RLTR13B1	TSCTE27	0.8065984
chr1	17542108	17543098	-	RLTR13D5	TSCTE28	0.78809285
chr1	17546421	17546461	-	RLTR13D5	TSCTE29	1
chr1	18171132	18171281	-	RLTR13D5	TSCTE30	1
chr1	18171450	18172319	-	RLTR13D5	TSCTE31	0.954023
chr1	18695925	18696745	-	RLTR13B2	TSCTE32	0.25700366
chr1	18845759	18846180	-	RLTR13B1	TSCTE33	0.7393365
chr1	18846172	18846779	-	RLTR13B3	TSCTE34	0.5559211
chr1	22238099	22238159	-	RLTR13B2	TSCTE35	1
chr1	22366124	22366990	-	RLTR13B4	TSCTE36	0.4925029
chr1	24318042	24318928	+	RLTR13B1	TSCTE37	0.63923335
chr1	25020236	25021074	+	RLTR13B2	TSCTE38	0.35637665
chr1	25049473	25050300	-	RLTR13B2	TSCTE39	0.5048309
chr1	25328532	25328611	+	RLTR13D5	TSCTE40	1
chr1	25335026	25335692	+	RLTR13D5	TSCTE41	0.9250375
chr1	26030693	26031508	+	RLTR13B4	TSCTE42	0.5955882
chr1	26378465	26379475	+	RLTR13D5	TSCTE43	0.85163206
chr1	26739672	26740493	-	RLTR13B2	TSCTE44	0.7931873
chr1	26979385	26980355	-	RLTR13D5	TSCTE45	0.9485067
chr1	27715060	27715885	+	RLTR13B2	TSCTE46	0.842615
chr1	28037269	28037672	+	RLTR13D5	TSCTE47	1
chr1	28038012	28038622	+	RLTR13D5	TSCTE48	1
chr1	28648956	28649860	+	RLTR13B1	TSCTE49	0.8121547
chr1	29179687	29180696	-	RLTR13D5	TSCTE50	0.990099
chr1	29442350	29443200	-	RLTR13B4	TSCTE51	0.92949474
chr1	29445500	29445848	-	RLTR13B1	TSCTE52	0.8853868
chr1	29618571	29619414	+	RLTR13D5	TSCTE53	0.96445495
chr1	29620984	29621144	+	RLTR13D5	TSCTE54	1
