Probe	Chromosome	Start	End	Probe Strand	No value	Feature	ID	Description	Feature Strand	Type	Orientation	Distance	ES_E14	ES_J1	TS_EGFP	TS_Rs26
Xkr4	1	3205901	3671498	-	NaN	null					Not found	0	0.050120626	0.04307285	0.0053573516	0.08686495
Gm1992	1	3466587	3513553	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Rp1	1	4343507	4360314	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Sox17	1	4490928	4496413	-	NaN	null					Not found	0	0.017607372	0.17833543	0.0	0.0
Mrpl15	1	4773206	4785739	-	NaN	null					Not found	0	8.876762	11.286446	5.2531233	5.1294637
Lypla1	1	4807788	4886770	+	NaN	null					Not found	0	18.942413	17.571598	6.0972614	6.617422
Tcea1	1	4857814	4897909	+	NaN	null					Not found	0	84.9479	84.55381	43.707016	34.01174
Gm6104	1	4879202	4880669	-	NaN	null					Not found	0	0.0	0.0	0.044479158	0.0
Rgs20	1	4909576	5070285	-	NaN	null					Not found	0	0.072053574	0.40691385	0.046210475	0.17290705
Gm16041	1	4970857	4976820	+	NaN	null					Not found	0	0.014908363	0.0	0.0	0.0
Atp6v1h	1	5083173	5162549	+	NaN	null					Not found	0	9.990999	12.714402	17.596054	11.663613
Oprk1	1	5588493	5606131	+	NaN	null					Not found	0	0.03652996	0.03288817	0.014317074	0.017856868
Npbwr1	1	5913707	5917398	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Rb1cc1	1	6206197	6276648	+	NaN	null					Not found	0	3.3361776	3.7957468	1.9401937	2.8190503
4732440D04Rik	1	6213293	6214590	-	NaN	null					Not found	0	0.06723203	0.090794176	0.07905012	0.3943788
4732440D04Rik	1	6214612	6215292	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Fam150a	1	6359331	6394731	+	NaN	null					Not found	0	0.03236227	0.0	0.0	0.0
St18	1	6487231	6860940	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Pcmtd1	1	7088920	7173626	+	NaN	null					Not found	0	14.674477	9.49997	2.609319	3.6748865
Gm9826	1	7177739	7179037	+	NaN	null					Not found	0	0.02137554	0.057733633	0.07539885	0.03134689
Sntg1	1	8361475	9299878	-	NaN	null					Not found	0	0.01218645	0.008228658	0.0	0.0
Rrs1	1	9545408	9547454	+	NaN	null					Not found	0	23.724564	20.754875	22.344618	12.114432
Adhfe1	1	9547948	9577970	+	NaN	null					Not found	0	0.025045244	0.09019361	0.009815905	0.012242817
2610203C22Rik	1	9560832	9631175	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0165864
3110035E14Rik	1	9601199	9627143	+	NaN	null					Not found	0	0.0085278945	0.0	0.0	0.0
Mybl1	1	9667415	9700209	-	NaN	null					Not found	0	2.7668564	2.2139812	0.79050124	2.8516622
Vcpip1	1	9718622	9748382	-	NaN	null					Not found	0	3.8678174	3.8232648	5.776725	5.7598057
Sgk3	1	9798130	9902556	+	NaN	null					Not found	0	1.1039242	1.2824835	1.3149768	0.5302033
Gm6195	1	9802194	9802553	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
6030422M02Rik	1	9908638	9942085	+	NaN	null					Not found	0	0.10345651	0.06681969	0.03702153	0.013192812
Gm10567	1	9960171	9962809	-	NaN	null					Not found	0	0.14730412	0.38364756	0.34639472	0.4937581
Ppp1r42	1	9968624	10009136	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Gm15818	1	9982387	9992366	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Cops5	1	10024602	10038127	-	NaN	null					Not found	0	19.25522	27.375559	29.03432	23.950558
Cspp1	1	10038218	10136768	+	NaN	null					Not found	0	3.9445984	4.499304	4.852858	4.065364
Arfgef1	1	10137571	10232670	-	NaN	null					Not found	0	3.1789808	4.4117403	9.613682	12.322475
Cpa6	1	10324720	10719945	-	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Prex2	1	10993465	11303682	+	NaN	null					Not found	0	2.2582211	1.8012879	1.0543902	2.2065358
A830018L16Rik	1	11414105	11975901	+	NaN	null					Not found	0	0.1671968	0.22579262	0.0	0.0
AC102654.1	1	11414112	11537707	+	NaN	null					Not found	0	0.37047136	0.25015342	0.0	0.0
Sulf1	1	12692430	12860371	+	NaN	null					Not found	0	11.99632	14.712354	0.0	0.016746704
Slco5a1	1	12866549	12991177	-	NaN	null					Not found	0	0.14897698	0.16765624	0.014597023	0.04005327
Dppa5b	1	13062019	13062348	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Prdm14	1	13113457	13127163	-	NaN	null					Not found	0	0.82304174	0.7751146	0.0	0.0
Ncoa2	1	13139105	13374083	-	NaN	null					Not found	0	1.680257	1.578973	1.6933833	2.3079367
Tram1	1	13564702	13589864	-	NaN	null					Not found	0	9.03768	9.647163	12.570722	14.480277
Lactb2	1	13624845	13660546	-	NaN	null					Not found	0	13.050681	12.671396	5.6927485	10.903939
Xkr9	1	13668771	13701723	+	NaN	null					Not found	0	0.014416837	0.019469364	0.0	0.0
Eya1	1	14168954	14310200	-	NaN	null					Not found	0	0.17159632	0.44630253	0.0074725803	0.009320122
Msc	1	14753346	14755966	-	NaN	null					Not found	0	0.19406052	0.34942803	0.019014386	0.0
Gm9947	1	14755454	14758373	+	NaN	null					Not found	0	0.0	0.0	0.0	0.0
Trpa1	1	14872648	14918862	-	NaN	null					Not found	0	0.09118826	0.2726807	0.007658386	0.0
