chr	start	end	ID_class	score	strand	class	Tet1KO_MethylC	Tet1KO_TAB	Tet2KO_MethylC	Tet2KO_TAB	WT_MethylC	WT_TAB
chr1	3953467	3953864	ESCTE10_REDE	0	-	ESC_REDE	9.613095	4.532164	38.666668	3.2234433	9.663866	4.532032
chr3	88281291	88282129	ESCTE1004_noclass	0	+	ESC_noclass	0.38610038	0.25252524	0.88532513	1.2171596	0.61486137	0.38949275
chr3	91203802	91204653	ESCTE1009_noclass	0	-	ESC_noclass	51.112457	1.9202899	46.953815	5.015933	66.69516	4.2879186
chr3	91203802	91204653	ESCTE1009_NonEnh	0	-	ESC_NonEnh	51.112457	1.9202899	46.953815	5.015933	66.69516	4.2879186
chr3	91546310	91547137	ESCTE1013_noclass	0	+	ESC_noclass	50.8051	4.594331	53.06187	0.5813953	69.8956	6.750278
chr3	91546310	91547137	ESCTE1013_NonEnh	0	+	ESC_NonEnh	50.8051	4.594331	53.06187	0.5813953	69.8956	6.750278
chr3	91964611	91964922	ESCTE1016_REDE	0	+	ESC_REDE	0.6756757	2.739394	9.399778	1.0440252	9.940624	0.8699764
chr3	92815699	92816648	ESCTE1021_REDE	0	+	ESC_REDE	1.6505636	0	13.738866	0	5.5788627	3.8574317
chr3	96069249	96069481	ESCTE1032_noclass	0	-	ESC_noclass	21.039194	1.0752687	29.445677	1.587903	31.234686	7.213768
chr3	96069626	96070370	ESCTE1033_noclass	0	-	ESC_noclass	13.662487	5.8263307	32.566486	1.841351	17.20273	8.442203
chr3	96084280	96084626	ESCTE1034_noclass	0	-	ESC_noclass	13.476004	3.1072521	32.317085	2.0888872	17.096539	4.376282
chr3	96289280	96289712	ESCTE1035_noclass	0	+	ESC_noclass	26.422766	2.1230159	31.954683	1.0776192	28.016367	10.152605
chr1	17827277	17827695	ESCTE104_noclass	0	+	ESC_noclass	56.8091	2.564394	63.987083	3.9233124	78.2021	2.3980668
chr1	17827277	17827695	ESCTE104_NonEnh	0	+	ESC_NonEnh	56.8091	2.564394	63.987083	3.9233124	78.2021	2.3980668
chr3	98734428	98734839	ESCTE1044_REDE	0	+	ESC_REDE	5.1449366	0.57471263	18.49883	3.8712769	7.835559	4.1026187
chr3	103201119	103201484	ESCTE1047_noclass	0	+	ESC_noclass	2.493545	0	18.88713	3.7178893	7.772479	4.1537347
chr3	103839866	103840516	ESCTE1048_REDE	0	+	ESC_REDE	0	0	2.9172275	0.46707678	3.409091	0.9370133
chr3	105989358	105990189	ESCTE1050_noclass	0	+	ESC_noclass	12.0385275	2.2468636	31.672014	3.1102037	20.930994	5.143534
chr3	107995745	107996633	ESCTE1055_REDE	0	-	ESC_REDE	2.5297623	0	3.0261087	0.54526013	0.2840909	0.652963
chr3	111158399	111158837	ESCTE1066_noclass	0	-	ESC_noclass	44.489246	3.736413	47.788464	4.7415547	71.252525	7.055556
chr3	111158399	111158837	ESCTE1066_NonEnh	0	-	ESC_NonEnh	44.489246	3.736413	47.788464	4.7415547	71.252525	7.055556
chr3	112088267	112089176	ESCTE1071_REDE	0	-	ESC_REDE	3.579316	0.5494506	8.506077	1.9113642	11.402118	1.8900182
