Probe	Chromosome	Start	End	Strand	TSC_1	TSC_2	TSC_3	TSC_4	TSC_5	diffTSC_d1_1	diffTSC_d1_2	diffTSC_d1_3	diffTSC_d3_1	diffTSC_d3_2	diffTSC_d3_3
Xkr4	1	3205901	3671498	-	-3.6676679	-3.791433	-4.1788945	-4.939092	-3.3619595	-5.1011868	-4.9777284	-4.1508408	-3.469603	-4.432009	-3.7035015
Gm1992	1	3466587	3513553	+	-4.7668705	-4.4235096	-2.308471	-2.4837055	-3.764554	-4.34624	-4.914659	-3.7829177	-2.4736485	-2.2985513	-2.7075467
Rp1	1	4343507	4360314	-	-9.675299	-9.331938	-7.2169	-7.392134	-8.672982	-9.254668	-9.823088	-8.691346	-7.382077	-7.2069798	-7.615975
Sox17	1	4490928	4496413	-	-7.27205	-6.928689	-5.965654	-6.140888	-7.2697334	-5.5294914	-6.4198384	-7.4401	-6.1308312	-5.955734	-6.212726
Mrpl15	1	4773206	4785739	-	2.8045056	2.6778948	2.824508	2.739105	2.8604572	2.7202485	2.642897	2.7442968	2.2603233	2.251479	2.233938
Lypla1	1	4807788	4886770	+	3.0062594	2.8876595	2.9027207	2.979673	3.0365036	3.1741502	3.0287004	3.1957145	2.9056659	2.7702656	2.916101
Tcea1	1	4857814	4897909	+	5.2469597	5.1855674	5.1841083	5.3003902	5.0774226	5.2842784	5.091571	5.32816	4.746127	4.6612167	4.5784116
Gm6104	1	4879202	4880669	-	-7.1687193	-6.8253584	-4.8623233	-5.0375576	-4.166403	-6.9000916	-7.468511	-6.3367696	-5.0275	-4.8524036	-5.261399
Rgs20	1	4909576	5070285	-	-3.175029	-2.62731	-2.539752	-2.830464	-2.338723	-3.1904984	-2.9637368	-3.8077474	-2.5980144	-2.5298321	-2.9388278
Gm16041	1	4970857	4976820	+	-8.664111	-8.32075	-6.2057114	-6.3809457	-7.6617947	-8.243481	-8.8119	-7.6801577	-6.3708887	-6.1957912	-6.6047873
Atp6v1h	1	5083173	5162549	+	3.779218	3.659548	3.8665738	3.8581421	3.5289874	4.1085825	4.1305103	4.2162256	4.7752566	4.652229	4.708614
Oprk1	1	5588493	5606131	+	-6.0671463	-5.1388235	-4.608747	-5.520947	-6.386758	-9.120447	-9.536863	-8.557125	-7.2478557	-7.072758	-7.481754
Npbwr1	1	5913707	5917398	-	-8.651273	-8.15591	-6.192874	-6.3681083	-7.648957	-8.230642	-8.799062	-7.6673203	-6.358051	-6.182954	-6.591949
Rb1cc1	1	6206197	6276648	+	1.5609385	1.5851699	1.5851551	1.8670144	1.9374756	2.0476174	1.8504294	2.631235	2.6541216	2.7248824	2.755046
4732440D04Rik	1	6213293	6214590	-	-2.3390808	-2.6737924	-3.0326846	-2.0559158	-2.751802	-2.1110957	-2.9019072	-1.1852028	-3.197862	-3.0227647	-3.4317603
4732440D04Rik	1	6214612	6215292	-	-4.475631	-4.717233	-3.7541976	-3.9294322	-3.4733152	-4.6399636	-3.2083828	-5.228644	-3.9193752	-3.744278	-4.1532736
Fam150a	1	6359331	6394731	+	-6.54592	-6.050556	-4.0875206	-4.262755	-5.543604	-6.1252894	-6.6937084	-5.561967	-4.252698	-4.0776005	-4.4865966
St18	1	6487231	6860940	+	-9.465978	-9.122617	-7.0075784	-7.1828127	-8.463662	-9.045348	-9.613766	-8.482025	-7.1727557	-6.9976583	-7.4066544
Pcmtd1	1	7088920	7173626	+	1.6733967	1.693726	1.6855398	1.6823661	2.3821812	1.4769439	1.4643223	1.7734376	1.6134717	1.7704219	1.7158568
Gm9826	1	7177739	7179037	+	-3.4073062	-3.3269799	-2.211941	-2.3871758	-3.1825974	-4.24971	-3.9701324	-4.0083156	-4.85105	-4.675953	-3.932945
Sntg1	1	8361475	9299878	-	-9.954955	-9.611594	-7.4965553	-7.6717896	-8.952639	-9.534325	-10.102744	-8.971002	-7.6617327	-7.4866357	-7.8956313
Rrs1	1	9545408	9547454	+	3.8384566	3.718737	3.941878	4.005474	3.805149	3.7573824	3.6421049	4.129178	3.8469675	3.75952	3.6986578
Adhfe1	1	9547948	9577970	+	-8.348656	-7.005295	-6.0422587	-6.0654902	-5.0244107	-6.9280252	-6.496444	-7.364702	-6.2074366	-6.032339	-6.441335
2610203C22Rik	1	9560832	9631175	-	-5.1032352	-4.86679	-5.452191	-5.042463	-2.550722	-4.48996	-4.888454	-2.926637	-4.032406	-5.4422708	-4.266304
3110035E14Rik	1	9601199	9627143	+	-8.469971	-8.12661	-6.011572	-6.186806	-7.4676547	-8.049341	-8.61776	-7.486018	-6.176749	-6.001652	-6.410648
Mybl1	1	9667415	9700209	-	0.9146757	1.0786271	0.7587289	1.2036463	1.5608481	1.1868534	0.90147877	1.905882	1.9225861	1.7280067	1.8044376
Vcpip1	1	9718622	9748382	-	2.2165473	2.1174314	2.1821597	2.4342525	2.5274107	2.8056219	2.6844692	3.1903944	3.24563	3.0204391	3.130027
Sgk3	1	9798130	9902556	+	-1.3335812	-1.1755235	-1.0678269	-0.88049126	-1.9098011	-0.83766276	-1.0841538	-1.1569831	0.5098378	0.736774	0.5183003
Gm6195	1	9802194	9802553	-	-5.292939	-4.949579	-2.83454	-3.0097744	-4.290623	-4.872309	-5.4407277	-4.3089867	-2.9997172	-2.82462	-3.2336156
6030422M02Rik	1	9908638	9942085	+	-6.4334846	-6.8974786	-5.782439	-7.1096773	-7.2385225	-8.820209	-6.803665	-5.6719236	-7.09962	-6.924523	-7.3335185
Gm10567	1	9960171	9962809	-	-0.46026963	-0.3405811	-0.09702748	-0.6024106	-0.8030889	-0.41431925	-0.62348855	-0.5390525	-0.02119695	-0.3766143	0.044464998
Ppp1r42	1	9968624	10009136	-	-7.3737864	-7.030426	-4.915387	-5.0906215	-6.37147	-6.801153	-7.5215755	-6.389833	-5.0805645	-4.905467	-5.3144627
Gm15818	1	9982387	9992366	+	-6.158638	-5.8152776	-3.7002387	-3.8754733	-5.156322	-5.738008	-6.306427	-5.174685	-3.8654163	-3.690319	-4.0993147
Cops5	1	10024602	10038127	-	4.7617836	4.8759823	4.915242	4.815214	4.950547	5.2922087	5.1830845	5.2686825	5.3488994	5.2214513	5.134515
Cspp1	1	10038218	10136768	+	1.6439254	1.6843097	1.6688883	1.8957522	2.2893155	1.6528527	1.4975665	2.3148649	1.9593903	2.1788816	2.214671
Arfgef1	1	10137571	10232670	-	3.0986602	3.0823662	3.2715747	3.368583	3.4486408	3.2111366	2.944762	3.6563277	3.521033	3.4105022	3.4315248
Cpa6	1	10324720	10719945	-	-8.388864	-9.045504	-7.082467	-7.2577014	-8.53855	-6.9682336	-7.95169	-8.556913	-7.247645	-7.072548	-6.3295403
Prex2	1	10993465	11303682	+	0.06456829	0.04989939	0.44312477	0.27326348	1.01503	-2.605451	-2.7372994	-1.8212864	-2.5402143	-2.4035912	-2.4984784
A830018L16Rik	1	11414105	11975901	+	-8.221151	-9.614757	-7.4997177	-7.674952	-8.803798	-6.578129	-8.36894	-8.822161	-7.664895	-7.4897976	-7.8987937
AC102654.1	1	11414112	11537707	+	-7.3508706	-7.00751	-4.8924713	-5.0677056	-6.3485546	-5.7782373	-7.4986596	-6.3669176	-5.057649	-4.882551	-5.291547
Sulf1	1	12692430	12860371	+	-7.311751	-8.705357	-6.5903172	-6.765552	-8.046401	-8.476084	-6.7225747	-6.9127607	-6.755495	-6.5803976	-6.8373904
Slco5a1	1	12866549	12991177	-	-5.7057853	-6.4328136	-6.6397033	-6.229975	-6.773858	-9.829475	-7.923963	-9.266152	-5.804881	-7.7817864	-7.038779
Dppa5b	1	13062019	13062348	+	-5.1674085	-4.8240476	-2.709009	-2.8842435	-4.165092	-4.746778	-5.315197	-4.1834555	-2.8741865	-2.6990893	-3.108085
Prdm14	1	13113457	13127163	-	-8.125267	-7.781906	-5.6668673	-5.8421016	-7.1229506	-7.704636	-8.273055	-7.1413136	-5.8320446	-5.656947	-6.065943
Ncoa2	1	13139105	13374083	-	0.6368351	0.81018806	0.84977967	0.97820705	0.91576093	1.9139435	1.6485205	2.2241123	2.9399226	2.7792609	2.7875757
Tram1	1	13564702	13589864	-	3.8991146	3.7758515	3.8506799	4.1240687	3.3691308	4.2714596	4.1725845	3.9855838	5.3068933	5.33321	5.4305778
Lactb2	1	13624845	13660546	-	3.3678403	3.3528306	3.3609545	3.6607862	3.3173256	3.6295445	3.437428	3.8123715	3.714731	3.6662347	3.7732835
Xkr9	1	13668771	13701723	+	-7.712478	-7.3691173	-5.2540784	-5.429313	-6.7101617	-7.2918477	-7.8602667	-4.9915595	-3.6822906	-5.0921555	-3.179223
Eya1	1	14168954	14310200	-	-6.4202423	-6.8138475	-6.2837706	-6.4590054	-5.739854	-8.32154	-6.8899593	-7.7582173	-3.8639858	-4.273851	-3.2234151
Msc	1	14753346	14755966	-	-2.6398697	-2.144506	-3.3513954	-4.1115923	-3.392441	-7.12613	-7.5425463	-6.5628076	-5.2535386	-5.078441	-5.4874372
Gm9947	1	14755454	14758373	+	-7.1608353	-7.817475	-5.8544393	-6.029674	-7.310522	-7.892209	-8.460628	-7.328886	-6.019617	-5.8445196	-6.2535157
Trpa1	1	14872648	14918862	-	-8.85874	-8.363376	-6.4003396	-6.5755744	-7.8564234	-8.438109	-9.006529	-7.8747864	-6.5655174	-6.39042	-6.799416
Gm10566	1	15268799	15269797	-	-6.613424	-6.4220667	-4.3070273	-4.482262	-5.7631106	-6.344797	-5.761213	-5.781474	-4.472205	-4.297108	-4.7061033
Kcnb2	1	15287259	15716367	+	-9.57408	-9.382723	-7.267685	-7.4429193	-8.723767	-9.305453	-9.721869	-8.742131	-7.4328623	-7.257765	-7.6667604
Terf1	1	15805658	15843428	+	5.3671794	5.47949	5.4338074	5.8024344	5.1651273	4.949309	4.733745	5.005075	4.186033	4.459694	4.3265295
Gm106	1	15853862	15892722	-	-8.225252	-7.8818917	-5.766853	-5.942087	-7.222936	-7.804622	-8.373041	-7.241299	-5.93203	-5.756933	-6.165929
4930444P10Rik	1	16065979	16093325	-	-6.074648	-7.4682536	-5.3532147	-5.376446	-6.809298	-7.238981	-6.8074	-4.6756577	-5.518392	-5.343295	-5.7522907
Rpl7	1	16101295	16104662	-	8.60195	8.593001	8.54424	8.577413	8.131495	8.388961	8.379601	7.90001	7.7551904	7.894679	7.7225795
Rdh10	1	16105774	16133734	+	-0.39067987	-0.19366378	-0.65846246	-1.2183607	-0.08417203	0.34163663	0.08464232	0.82820207	2.8360903	2.0400426	2.3793948
Stau2	1	16228674	16520112	-	0.31563523	0.36870986	0.16610162	0.28037363	0.24791273	0.24873339	-0.09694204	-0.04531059	1.1481102	1.1972378	1.3661672
Gm7568	1	16253592	16267921	+	-6.7711916	-6.4278316	-4.3127923	-4.488027	-5.7688756	-6.350562	-6.918981	-5.787239	-4.47797	-4.3028727	-4.7118683
Ube2w	1	16569782	16619489	-	2.2795472	2.0471296	1.9890085	2.323969	2.0734937	1.9943081	1.9822824	2.0144885	2.0771174	2.0206234	2.0950024
Tceb1	1	16642766	16656865	-	5.922459	5.7271695	5.6222777	5.408662	5.201902	5.444032	5.6448545	5.3150754	5.0363126	4.785577	4.969776
Tmem70	1	16665207	16678275	+	3.5366092	3.3743298	3.371911	3.5151658	3.4183283	3.690856	3.6686003	3.7303545	3.8533351	3.7806764	3.722625
