gene	chr	strand	start	end	ESC_WT-1	ESC_WT-2	ESC_TET1KO-1	ESC_TET1KO-2	ESC_TET2KO-1	ESC_TET2KO-2	day3_WT-1	day3_WT-2	day3_TET1KO-1	day3_TET1KO-2	day3_TET2KO-1	day3_TET2KO-2	day6_WT-1	day6_WT-2	day6_TET1KO-1	day6_TET1KO-2	day6_TET2KO-1	day6_TET2KO-2
Trim21	chr7	-	109706435	109713983	0.4281	0.3251	0.6723	0.7046	0.3187	0.2642	2.031	2.0211	2.1308	2.4256	2.172	2.3464	1.8309	1.8855	1.5774	1.772	1.8147	2.3898
Sergef	chr7	-	53698528	53895177	2.0263	1.6683	2.0432	1.4736	1.6651	1.4361	1.9967	2.3843	1.845	1.7108	2.3448	2.2098	1.8439	1.7147	1.3989	1.6657	1.7863	1.6362
Ruvbl2	chr7	-	52677267	52689834	39.7094	48.1845	54.0811	48.5419	59.5871	67.1922	65.6789	60.9144	72.3918	75.644	72.7056	74.0207	47.5701	43.7813	32.0121	42.8664	49.9805	48.5173
Fam71e2	chr7	-	4704828	4722872	0.0744	0.0568	0.05	0.0622	0.0725	0.056	0.05	0.0735	0.0738	0.0571	0.1004	0.0826	0.0585	0.05	0.05	0.0575	0.0571	0.05
Lyve1	chr7	-	117994120	118006467	0.0626	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0762	0.1095	0.1239	0.05	0.0795	0.05
Cd3eap	chr7	-	19941357	19944832	6.488	8.6521	8.9205	8.7867	8.3326	11.2345	7.0848	7.5714	8.4362	8.3832	8.2319	7.9377	7.6144	6.4507	6.4356	7.9228	6.4713	5.3403
Plekhg2	chr7	-	29144622	29157681	4.1064	3.8419	3.962	2.8846	2.3998	2.1356	10.4393	10.9477	9.6533	9.1769	10.9758	10.4964	10.3597	11.7394	14.1004	14.2778	11.9366	15.1598
Gm2381	chr7	-	50072196	50122604	18.9909	15.6695	20.2501	18.2674	21.6141	16.2811	2.381	1.573	5.5924	5.5077	2.4252	2.9787	0.5977	0.3736	0.2391	0.2529	0.526	0.4271
Stk33	chr7	-	116422729	116582567	0.6663	0.6042	2.548	2.6888	2.5925	1.942	0.0734	0.0676	0.0589	0.0737	0.0641	0.0683	0.1451	0.104	0.05	0.0753	0.0821	0.1404
Arrdc4	chr7	-	75881879	75894124	6.1766	5.5278	3.5997	3.6128	4.3102	3.8024	3.9741	2.949	2.108	1.8462	3.3573	4.3632	5.6759	7.5878	3.2271	3.7205	5.7408	7.5197
Vmn1r56	chr7	-	5146517	5148349	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
