chr	Plot.start	Plot.end	ID_class	score	strand	start	end	class
chr1	3952467	3954864	ESCTE10_REDE	0	-	3953467	3953864	ESC_REDE
chr1	4149725	4152108	ESCTE14_REDE	0	-	4150725	4151108	ESC_REDE
chr1	4801595	4803944	ESCTE19_REDE	0	+	4802595	4802944	ESC_REDE
chr1	4802091	4804167	ESCTE20_REDE	0	+	4803091	4803167	ESC_REDE
chr1	5226957	5229349	ESCTE21_REDE	0	+	5227957	5228349	ESC_REDE
chr1	5777648	5780009	ESCTE29_REDE	0	+	5778648	5779009	ESC_REDE
chr1	7318434	7320766	ESCTE46_REDE	0	+	7319434	7319766	ESC_REDE
chr1	7585479	7587892	ESCTE49_REDE	0	+	7586479	7586892	ESC_REDE
chr1	8580669	8583593	ESCTE56_REDE	0	+	8581669	8582593	ESC_REDE
chr1	10170159	10172531	ESCTE63_REDE	0	+	10171159	10171531	ESC_REDE
chr1	11329143	11331450	ESCTE71_REDE	0	-	11330143	11330450	ESC_REDE
chr1	11394577	11396692	ESCTE72_REDE	0	-	11395577	11395692	ESC_REDE
chr1	11400043	11402442	ESCTE73_REDE	0	-	11401043	11401442	ESC_REDE
chr1	11466027	11468402	ESCTE74_REDE	0	-	11467027	11467402	ESC_REDE
chr1	12586015	12588398	ESCTE81_REDE	0	+	12587015	12587398	ESC_REDE
chr1	13014872	13017219	ESCTE84_REDE	0	+	13015872	13016219	ESC_REDE
chr1	17206644	17209060	ESCTE101_REDE	0	+	17207644	17208060	ESC_REDE
chr1	17249805	17252220	ESCTE102_REDE	0	+	17250805	17251220	ESC_REDE
chr1	17930847	17933716	ESCTE106_REDE	0	-	17931847	17932716	ESC_REDE
chr1	25011825	25014110	ESCTE120_REDE	0	+	25012825	25013110	ESC_REDE
chr1	25886875	25889286	ESCTE122_REDE	0	-	25887875	25888286	ESC_REDE
chr1	44330942	44333113	ESCTE157_REDE	0	-	44331942	44332113	ESC_REDE
chr1	45356944	45359324	ESCTE165_REDE	0	-	45357944	45358324	ESC_REDE
chr1	45574078	45576475	ESCTE167_REDE	0	-	45575078	45575475	ESC_REDE
chr1	52526391	52528755	ESCTE200_REDE	0	+	52527391	52527755	ESC_REDE
chr1	53580384	53582761	ESCTE210_REDE	0	+	53581384	53581761	ESC_REDE
chr1	57280332	57283241	ESCTE220_REDE	0	-	57281332	57282241	ESC_REDE
chr1	58423647	58425868	ESCTE222_REDE	0	+	58424647	58424868	ESC_REDE
chr1	60431403	60433822	ESCTE236_REDE	0	-	60432403	60432822	ESC_REDE
chr1	65798923	65801247	ESCTE244_REDE	0	-	65799923	65800247	ESC_REDE
chr1	90890641	90893575	ESCTE270_REDE	0	-	90891641	90892575	ESC_REDE
chr1	98666346	98669037	ESCTE289_REDE	0	+	98667346	98668037	ESC_REDE
chr1	101755457	101757854	ESCTE301_REDE	0	-	101756457	101756854	ESC_REDE
chr1	101917684	101920518	ESCTE303_REDE	0	-	101918684	101919518	ESC_REDE
chr1	103470372	103472786	ESCTE315_REDE	0	-	103471372	103471786	ESC_REDE
chr1	108547496	108550421	ESCTE325_REDE	0	+	108548496	108549421	ESC_REDE
chr1	110773973	110776316	ESCTE335_REDE	0	+	110774973	110775316	ESC_REDE
chr1	110789672	110792033	ESCTE336_REDE	0	+	110790672	110791033	ESC_REDE
chr1	113956929	113959310	ESCTE349_REDE	0	-	113957929	113958310	ESC_REDE
chr1	114848502	114850934	ESCTE352_REDE	0	-	114849502	114849934	ESC_REDE
chr1	117649043	117651942	ESCTE362_REDE	0	+	117650043	117650942	ESC_REDE
chr1	118002741	118005642	ESCTE366_REDE	0	+	118003741	118004642	ESC_REDE
chr1	123800291	123802607	ESCTE372_REDE	0	+	123801291	123801607	ESC_REDE
chr1	127999674	128002523	ESCTE377_REDE	0	-	128000674	128001523	ESC_REDE
chr1	132279476	132281845	ESCTE380_REDE	0	-	132280476	132280845	ESC_REDE
chr1	134383698	134386120	ESCTE381_REDE	0	+	134384698	134385120	ESC_REDE
chr1	139411189	139414067	ESCTE384_REDE	0	+	139412189	139413067	ESC_REDE
chr1	140187299	140190218	ESCTE393_REDE	0	+	140188299	140189218	ESC_REDE
chr1	143730771	143733088	ESCTE399_REDE	0	+	143731771	143732088	ESC_REDE
chr1	146321922	146324317	ESCTE408_REDE	0	+	146322922	146323317	ESC_REDE
chr1	146425787	146428207	ESCTE409_REDE	0	-	146426787	146427207	ESC_REDE
chr1	152942076	152944279	ESCTE423_REDE	0	+	152943076	152943279	ESC_REDE
chr1	156250184	156252573	ESCTE428_REDE	0	+	156251184	156251573	ESC_REDE
chr1	163162735	163165078	ESCTE437_REDE	0	+	163163735	163164078	ESC_REDE
chr1	171136647	171139022	ESCTE445_REDE	0	+	171137647	171138022	ESC_REDE
chr1	178282280	178284645	ESCTE463_REDE	0	-	178283280	178283645	ESC_REDE
chr1	182181499	182183886	ESCTE473_REDE	0	+	182182499	182182886	ESC_REDE
chr1	185954612	185957490	ESCTE480_REDE	0	-	185955612	185956490	ESC_REDE
chr2	15924383	15926730	ESCTE520_REDE	0	-	15925383	15925730	ESC_REDE
chr2	16031741	16034154	ESCTE523_REDE	0	-	16032741	16033154	ESC_REDE
chr2	17981646	17983953	ESCTE528_REDE	0	-	17982646	17982953	ESC_REDE
chr2	19621171	19623565	ESCTE533_REDE	0	-	19622171	19622565	ESC_REDE
chr2	21459581	21461942	ESCTE540_REDE	0	-	21460581	21460942	ESC_REDE
chr2	23452309	23454678	ESCTE546_REDE	0	+	23453309	23453678	ESC_REDE
chr2	36321492	36323920	ESCTE559_REDE	0	+	36322492	36322920	ESC_REDE
chr2	36414071	36416937	ESCTE561_REDE	0	-	36415071	36415937	ESC_REDE
chr2	46729613	46731820	ESCTE590_REDE	0	-	46730613	46730820	ESC_REDE
chr2	51447004	51449890	ESCTE597_REDE	0	+	51448004	51448890	ESC_REDE
chr2	59230257	59232676	ESCTE605_REDE	0	-	59231257	59231676	ESC_REDE
chr2	59377278	59379618	ESCTE606_REDE	0	+	59378278	59378618	ESC_REDE
chr2	63540567	63543452	ESCTE610_REDE	0	+	63541567	63542452	ESC_REDE
chr2	65417584	65419915	ESCTE611_REDE	0	-	65418584	65418915	ESC_REDE
chr2	65448360	65450764	ESCTE612_REDE	0	-	65449360	65449764	ESC_REDE
chr2	77335748	77338103	ESCTE620_REDE	0	-	77336748	77337103	ESC_REDE
chr2	78280833	78283197	ESCTE621_REDE	0	-	78281833	78282197	ESC_REDE
chr2	86178986	86181417	ESCTE633_REDE	0	+	86179986	86180417	ESC_REDE
chr2	87533621	87536018	ESCTE643_REDE	0	-	87534621	87535018	ESC_REDE
chr2	92474672	92476991	ESCTE659_REDE	0	-	92475672	92475991	ESC_REDE
chr2	97963852	97966760	ESCTE663_REDE	0	+	97964852	97965760	ESC_REDE
chr2	98843049	98845904	ESCTE669_REDE	0	-	98844049	98844904	ESC_REDE
chr2	107514213	107517053	ESCTE680_REDE	0	+	107515213	107516053	ESC_REDE
chr2	108842638	108845485	ESCTE681_REDE	0	+	108843638	108844485	ESC_REDE
chr2	116241990	116244893	ESCTE687_REDE	0	+	116242990	116243893	ESC_REDE
chr2	121894022	121896860	ESCTE693_REDE	0	+	121895022	121895860	ESC_REDE
chr2	139872918	139875271	ESCTE717_REDE	0	+	139873918	139874271	ESC_REDE
chr2	141407723	141410048	ESCTE718_REDE	0	-	141408723	141409048	ESC_REDE
chr2	147291688	147294530	ESCTE722_REDE	0	-	147292688	147293530	ESC_REDE
chr2	149295836	149298239	ESCTE725_REDE	0	-	149296836	149297239	ESC_REDE
chr2	171877979	171880785	ESCTE751_REDE	0	-	171878979	171879785	ESC_REDE
chr3	6099855	6102220	ESCTE776_REDE	0	-	6100855	6101220	ESC_REDE
chr3	6766760	6769710	ESCTE779_REDE	0	-	6767760	6768710	ESC_REDE
chr3	6921464	6924274	ESCTE780_REDE	0	-	6922464	6923274	ESC_REDE
chr3	7165391	7168238	ESCTE783_REDE	0	-	7166391	7167238	ESC_REDE
chr3	7681486	7684209	ESCTE787_REDE	0	+	7682486	7683209	ESC_REDE
chr3	7803924	7806763	ESCTE789_REDE	0	-	7804924	7805763	ESC_REDE
chr3	10360819	10363232	ESCTE796_REDE	0	+	10361819	10362232	ESC_REDE
chr3	10758504	10761466	ESCTE799_REDE	0	+	10759504	10760466	ESC_REDE
chr3	11209935	11212187	ESCTE801_REDE	0	-	11210935	11211187	ESC_REDE
chr3	11210237	11212359	ESCTE802_REDE	0	-	11211237	11211359	ESC_REDE
chr3	12327496	12329832	ESCTE814_REDE	0	+	12328496	12328832	ESC_REDE
chr3	14189992	14192918	ESCTE821_REDE	0	-	14190992	14191918	ESC_REDE
chr3	18255520	18257924	ESCTE857_REDE	0	-	18256520	18256924	ESC_REDE
chr3	22037074	22039483	ESCTE873_REDE	0	+	22038074	22038483	ESC_REDE
chr3	22296761	22299159	ESCTE878_REDE	0	-	22297761	22298159	ESC_REDE
chr3	24078800	24081198	ESCTE886_REDE	0	+	24079800	24080198	ESC_REDE
chr3	28036998	28039326	ESCTE893_REDE	0	-	28037998	28038326	ESC_REDE
chr3	28836080	28838484	ESCTE894_REDE	0	+	28837080	28837484	ESC_REDE
chr3	29023578	29026581	ESCTE895_REDE	0	-	29024578	29025581	ESC_REDE
chr3	30572506	30574874	ESCTE899_REDE	0	-	30573506	30573874	ESC_REDE
chr3	34006659	34009030	ESCTE907_REDE	0	+	34007659	34008030	ESC_REDE
chr3	41694724	41697105	ESCTE920_REDE	0	+	41695724	41696105	ESC_REDE
chr3	44297031	44299408	ESCTE925_REDE	0	-	44298031	44298408	ESC_REDE
chr3	48441009	48443399	ESCTE943_REDE	0	+	48442009	48442399	ESC_REDE
chr3	52561774	52564124	ESCTE951_REDE	0	-	52562774	52563124	ESC_REDE
chr3	59878929	59881778	ESCTE961_REDE	0	+	59879929	59880778	ESC_REDE
chr3	64201786	64204172	ESCTE968_REDE	0	-	64202786	64203172	ESC_REDE
chr3	64263994	64266406	ESCTE969_REDE	0	-	64264994	64265406	ESC_REDE
chr3	64320635	64323497	ESCTE970_REDE	0	-	64321635	64322497	ESC_REDE
chr3	72866902	72869744	ESCTE976_REDE	0	+	72867902	72868744	ESC_REDE
chr3	75649399	75651719	ESCTE980_REDE	0	-	75650399	75650719	ESC_REDE
chr3	91028874	91031798	ESCTE1008_REDE	0	-	91029874	91030798	ESC_REDE
chr3	91963611	91965922	ESCTE1016_REDE	0	+	91964611	91964922	ESC_REDE
chr3	92814699	92817648	ESCTE1021_REDE	0	+	92815699	92816648	ESC_REDE
chr3	93707642	93710504	ESCTE1024_REDE	0	-	93708642	93709504	ESC_REDE
chr3	97128537	97130922	ESCTE1036_REDE	0	+	97129537	97129922	ESC_REDE
chr3	98733428	98735839	ESCTE1044_REDE	0	+	98734428	98734839	ESC_REDE
chr3	101569369	101571738	ESCTE1045_REDE	0	+	101570369	101570738	ESC_REDE
chr3	102847734	102850016	ESCTE1046_REDE	0	+	102848734	102849016	ESC_REDE
chr3	103838866	103841516	ESCTE1048_REDE	0	+	103839866	103840516	ESC_REDE
chr3	107994745	107997633	ESCTE1055_REDE	0	-	107995745	107996633	ESC_REDE
chr3	112087267	112090176	ESCTE1071_REDE	0	-	112088267	112089176	ESC_REDE
chr3	127850074	127852462	ESCTE1105_REDE	0	-	127851074	127851462	ESC_REDE
chr3	138674844	138677174	ESCTE1121_REDE	0	-	138675844	138676174	ESC_REDE
chr3	139407671	139410535	ESCTE1122_REDE	0	+	139408671	139409535	ESC_REDE
chr3	153916317	153918644	ESCTE1145_REDE	0	+	153917317	153917644	ESC_REDE
chr3	156413170	156416022	ESCTE1147_REDE	0	+	156414170	156415022	ESC_REDE
chr3	157930923	157933327	ESCTE1151_REDE	0	-	157931923	157932327	ESC_REDE
chr4	5514234	5517098	ESCTE1177_REDE	0	-	5515234	5516098	ESC_REDE
chr4	6114767	6117634	ESCTE1182_REDE	0	-	6115767	6116634	ESC_REDE
chr4	9723838	9726233	ESCTE1198_REDE	0	+	9724838	9725233	ESC_REDE
chr4	16953420	16956242	ESCTE1218_REDE	0	-	16954420	16955242	ESC_REDE
chr4	18695203	18697555	ESCTE1227_REDE	0	-	18696203	18696555	ESC_REDE
chr4	19136648	19139069	ESCTE1230_REDE	0	+	19137648	19138069	ESC_REDE
chr4	22143626	22146496	ESCTE1238_REDE	0	+	22144626	22145496	ESC_REDE
chr4	23571978	23574310	ESCTE1244_REDE	0	-	23572978	23573310	ESC_REDE
chr4	23709768	23712177	ESCTE1245_REDE	0	+	23710768	23711177	ESC_REDE
chr4	26943682	26946047	ESCTE1251_REDE	0	+	26944682	26945047	ESC_REDE
chr4	35577008	35579356	ESCTE1266_REDE	0	-	35578008	35578356	ESC_REDE
chr4	51867490	51870381	ESCTE1301_REDE	0	+	51868490	51869381	ESC_REDE
chr4	59996843	59999165	ESCTE1313_REDE	0	-	59997843	59998165	ESC_REDE
chr4	62239704	62242053	ESCTE1406_REDE	0	+	62240704	62241053	ESC_REDE
chr4	66736473	66738881	ESCTE1410_REDE	0	+	66737473	66737881	ESC_REDE
chr4	69625608	69628010	ESCTE1412_REDE	0	+	69626608	69627010	ESC_REDE
chr4	75299663	75302055	ESCTE1431_REDE	0	+	75300663	75301055	ESC_REDE
chr4	75811325	75813728	ESCTE1432_REDE	0	+	75812325	75812728	ESC_REDE
chr4	77309570	77312005	ESCTE1434_REDE	0	+	77310570	77311005	ESC_REDE
chr4	111962257	111964896	ESCTE1469_REDE	0	-	111963257	111963896	ESC_REDE
chr4	115556790	115559171	ESCTE1488_REDE	0	-	115557790	115558171	ESC_REDE
chr5	3871256	3873662	ESCTE1543_REDE	0	-	3872256	3872662	ESC_REDE
chr5	3942059	3944455	ESCTE1544_REDE	0	-	3943059	3943455	ESC_REDE
chr5	4105990	4108384	ESCTE1545_REDE	0	-	4106990	4107384	ESC_REDE
chr5	6675147	6677305	ESCTE1557_REDE	0	+	6676147	6676305	ESC_REDE
chr5	6675393	6677593	ESCTE1558_REDE	0	-	6676393	6676593	ESC_REDE
chr5	6794138	6797074	ESCTE1559_REDE	0	+	6795138	6796074	ESC_REDE
chr5	9754475	9757331	ESCTE1570_REDE	0	+	9755475	9756331	ESC_REDE
chr5	12871713	12874113	ESCTE1595_REDE	0	-	12872713	12873113	ESC_REDE
chr5	13613498	13615925	ESCTE1597_REDE	0	-	13614498	13614925	ESC_REDE
chr5	14369893	14372594	ESCTE1598_REDE	0	+	14370893	14371594	ESC_REDE
chr5	16424378	16426745	ESCTE1602_REDE	0	+	16425378	16425745	ESC_REDE
chr5	16967606	16970465	ESCTE1603_REDE	0	-	16968606	16969465	ESC_REDE
chr5	18082957	18085328	ESCTE1613_REDE	0	-	18083957	18084328	ESC_REDE
chr5	18564592	18567008	ESCTE1616_REDE	0	+	18565592	18566008	ESC_REDE
chr5	18687552	18689967	ESCTE1617_REDE	0	+	18688552	18688967	ESC_REDE
chr5	20709703	20712118	ESCTE1624_REDE	0	-	20710703	20711118	ESC_REDE
chr5	20972928	20975220	ESCTE1626_REDE	0	-	20973928	20974220	ESC_REDE
chr5	26702499	26705336	ESCTE1638_REDE	0	-	26703499	26704336	ESC_REDE
chr5	38607285	38609707	ESCTE1660_REDE	0	+	38608285	38608707	ESC_REDE
chr5	43859588	43861963	ESCTE1664_REDE	0	-	43860588	43860963	ESC_REDE
chr5	43967792	43970106	ESCTE1665_REDE	0	+	43968792	43969106	ESC_REDE
chr5	55790652	55793057	ESCTE1679_REDE	0	-	55791652	55792057	ESC_REDE
chr5	56632439	56635385	ESCTE1681_REDE	0	+	56633439	56634385	ESC_REDE
chr5	60881289	60884153	ESCTE1698_REDE	0	-	60882289	60883153	ESC_REDE
chr5	60988104	60991043	ESCTE1699_REDE	0	-	60989104	60990043	ESC_REDE
chr5	73886248	73888808	ESCTE1721_REDE	0	+	73887248	73887808	ESC_REDE
chr5	76102742	76105145	ESCTE1723_REDE	0	-	76103742	76104145	ESC_REDE
chr5	82252467	82255350	ESCTE1733_REDE	0	+	82253467	82254350	ESC_REDE
chr5	85066243	85068913	ESCTE1740_REDE	0	+	85067243	85067913	ESC_REDE
chr5	86406163	86408539	ESCTE1745_REDE	0	-	86407163	86407539	ESC_REDE
chr5	86850737	86853080	ESCTE1747_REDE	0	+	86851737	86852080	ESC_REDE
