chr	start	end	id	strand
chrX	64800511	64800616	ENSMUSG00000065903.1	+
chr2	71495271	71495374	ENSMUSG00000088066.1	+
chr16	14807163	14807269	ENSMUSG00000095165.1	-
chr19	44945022	44945128	ENSMUSG00000065159.1	+
chr16	30814162	30814268	ENSMUSG00000095791.1	+
chr4	62264314	62264420	ENSMUSG00000096713.1	+
chr15	46944387	46944448	ENSMUSG00000088679.1	-
chr7	88087188	88087251	ENSMUSG00000087947.1	-
chr10	30493942	30494048	ENSMUSG00000094452.1	+
chr9	18679128	18679229	ENSMUSG00000089277.1	+
chr3	44983200	44983304	ENSMUSG00000088535.1	+
chr6	74451797	74451904	ENSMUSG00000064408.1	-
chr4	16675923	16676029	ENSMUSG00000096423.1	+
chr8	86671236	86671343	ENSMUSG00000064624.1	-
chr4	133797582	133797719	ENSMUSG00000084555.1	-
chr17	88342388	88342482	ENSMUSG00000088791.1	-
chr8	115591170	115591273	ENSMUSG00000065090.1	-
chr7	110003578	110003718	ENSMUSG00000065389.1	+
chr9	70517200	70517298	ENSMUSG00000088284.1	+
chr14	40009902	40010065	ENSMUSG00000089021.1	+
chr3	49658763	49658869	ENSMUSG00000065381.1	+
chr2	118077805	118077962	ENSMUSG00000077359.1	-
chr13	106780114	106780220	ENSMUSG00000064854.1	-
chr15	72490958	72491019	ENSMUSG00000095149.1	-
chr4	92866475	92866582	ENSMUSG00000088914.1	-
chr19	12665255	12665361	ENSMUSG00000065892.1	+
chr8	36406094	36406244	ENSMUSG00000088051.1	-
chr13	21486338	21486401	ENSMUSG00000088563.1	-
chr14	41247686	41247792	ENSMUSG00000094710.1	+
chr10	17116804	17116900	ENSMUSG00000088436.1	+
chr13	39858863	39859027	ENSMUSG00000065256.1	-
chr6	33088646	33088749	ENSMUSG00000087777.1	-
chr10	38615375	38615481	ENSMUSG00000094521.1	-
chr10	79703484	79703590	ENSMUSG00000065220.1	-
chr1	107756602	107756708	ENSMUSG00000096241.1	-
chr18	63909082	63909156	ENSMUSG00000084642.1	-
chrX	162069457	162069563	ENSMUSG00000065828.1	+
chr15	81592093	81592199	ENSMUSG00000084739.1	+
chrX	48230286	48230444	ENSMUSG00000064806.2	+
chr18	90228899	90228962	ENSMUSG00000089008.1	+
chr4	129458351	129458490	ENSMUSG00000064613.1	+
chr2	126109908	126110014	ENSMUSG00000065084.1	-
chr9	63027560	63027717	ENSMUSG00000064855.1	+
chr18	83355199	83355364	ENSMUSG00000088143.1	-
chr2	133330924	133330982	ENSMUSG00000098578.1	+
chr10	110904795	110904900	ENSMUSG00000087718.1	-
chr16	87621014	87621120	ENSMUSG00000064670.1	-
chr3	96450446	96450611	ENSMUSG00000096838.1	+
chr11	47912385	47912545	ENSMUSG00000065804.1	-
chr14	75651423	75651529	ENSMUSG00000064394.1	-
chr1	117536301	117536464	ENSMUSG00000065865.1	+
chr14	50731053	50731159	ENSMUSG00000096731.1	+
chr17	47840816	47840985	ENSMUSG00000065027.1	-
chr3	89097910	89098013	ENSMUSG00000077148.1	-
chr4	112590772	112590878	ENSMUSG00000096564.1	-
chr4	129895573	129895724	ENSMUSG00000065768.1	+
chr11	16732605	16732711	ENSMUSG00000064831.1	-
chr11	78824387	78824473	ENSMUSG00000088748.1	+
chrX	58357952	58358058	ENSMUSG00000064728.1	-
chr9	44897865	44897982	ENSMUSG00000080358.1	+
chr1	132100639	132100754	ENSMUSG00000088779.1	+
chr3	96422733	96422897	ENSMUSG00000095513.1	+
chrX	66728415	66728553	ENSMUSG00000087708.1	+
chr2	117248271	117248434	ENSMUSG00000065845.1	+
chr1	33422733	33422838	ENSMUSG00000065260.1	+
chr3	155788365	155788468	ENSMUSG00000065807.1	-
chr4	43201149	43201213	ENSMUSG00000089028.1	-
chr5	104936651	104936757	ENSMUSG00000096561.1	+
chrX	77579487	77579659	ENSMUSG00000088278.1	+
chr14	52342777	52342883	ENSMUSG00000064755.1	+
chrX	82187682	82187781	ENSMUSG00000064781.2	+
chr4	57877389	57877495	ENSMUSG00000096195.1	-
chr5	123360832	123361000	ENSMUSG00000065191.1	+
chr3	88862919	88863080	ENSMUSG00000064738.1	+
chr4	132931211	132931317	ENSMUSG00000087911.1	-
chr12	54719163	54719326	ENSMUSG00000096659.1	-
chr12	69994790	69994892	ENSMUSG00000089153.1	-
chr12	13507862	13507968	ENSMUSG00000096633.1	-
chr14	18060275	18060337	ENSMUSG00000098478.1	+
chr7	11967150	11967256	ENSMUSG00000065368.2	-
chr17	13432033	13432139	ENSMUSG00000095132.1	-
chr6	71039579	71039733	ENSMUSG00000077369.1	-
chr16	46018067	46018173	ENSMUSG00000095243.1	-
chr6	93793772	93793877	ENSMUSG00000088627.1	+
chr4	101103588	101103650	ENSMUSG00000088551.1	-
chr16	17006107	17006201	ENSMUSG00000087951.1	-
chrX	105819883	105820065	ENSMUSG00000084678.1	+
chr10	51182299	51182405	ENSMUSG00000084449.1	+
chr13	45026252	45026355	ENSMUSG00000065656.1	-
chrX	115373841	115373964	ENSMUSG00000089470.1	-
chr10	103959543	103959651	ENSMUSG00000064630.1	+
chr12	54997072	54997177	ENSMUSG00000088922.1	+
chr2	181183512	181183615	ENSMUSG00000084696.1	+
chr8	52078604	52078742	ENSMUSG00000065337.1	+
chr9	37822586	37822784	ENSMUSG00000065620.1	-
chrX	101005896	101005959	ENSMUSG00000088839.2	+
chr3	122464727	122464882	ENSMUSG00000087743.1	+
chr5	126513875	126513981	ENSMUSG00000084551.1	-
chr6	97730439	97730545	ENSMUSG00000094510.1	+
chr4	108041697	108041800	ENSMUSG00000089051.1	-
chr15	83149644	83149794	ENSMUSG00000065176.1	+
chr1	31656632	31656738	ENSMUSG00000088620.1	-
chr15	46151698	46151804	ENSMUSG00000065312.1	-
chrX	37060246	37060354	ENSMUSG00000087873.1	-
chr6	10840587	10840693	ENSMUSG00000094367.1	-
chr5	151700202	151700308	ENSMUSG00000095272.1	-
chrX	113332100	113332225	ENSMUSG00000080428.1	-
chrX	101242738	101242871	ENSMUSG00000077303.1	+
chr12	60735498	60735604	ENSMUSG00000089603.1	+
chr17	40917540	40917687	ENSMUSG00000088473.1	-
chr4	9695645	9695807	ENSMUSG00000064698.1	-
chr2	153155013	153155115	ENSMUSG00000089499.1	+
chr1	54249102	54249208	ENSMUSG00000094013.1	-
chr6	38118383	38118486	ENSMUSG00000087924.1	+
chr3	89967999	89968163	ENSMUSG00000065045.1	-
chr7	126563874	126563980	ENSMUSG00000084453.1	-
chr2	75686740	75686838	ENSMUSG00000089015.1	-
chr6	136417812	136417896	ENSMUSG00000088409.1	+
chr13	95896962	95897120	ENSMUSG00000065866.1	-
chr7	109988078	109988131	ENSMUSG00000089306.1	+
chr17	34687696	34687802	ENSMUSG00000095142.1	-
chr5	113044144	113044252	ENSMUSG00000065373.1	+
chr4	156023058	156023158	ENSMUSG00000088545.1	-
chr12	69152274	69152377	ENSMUSG00000089071.1	-
chr17	94869873	94869988	ENSMUSG00000065658.1	-
chr18	82355977	82356106	ENSMUSG00000087999.1	-
chr13	13298243	13298342	ENSMUSG00000096198.1	-
chr3	137912990	137913088	ENSMUSG00000088932.1	-
chr5	110677124	110677230	ENSMUSG00000095178.1	-
chr8	42742807	42742912	ENSMUSG00000088312.1	+
chr18	14647767	14647930	ENSMUSG00000094306.1	-
chr9	63133283	63133389	ENSMUSG00000094201.1	+
chr19	43857245	43857351	ENSMUSG00000088490.1	-
chrX	163388772	163388891	ENSMUSG00000089423.1	-
chr5	69752403	69752528	ENSMUSG00000080566.1	-
chr2	74624642	74624748	ENSMUSG00000065237.1	+
chr12	52603788	52603894	ENSMUSG00000064663.1	+
chr15	60084788	60084894	ENSMUSG00000077511.1	+
chr5	135875657	135875763	ENSMUSG00000095502.1	+
chr7	141181216	141181311	ENSMUSG00000077547.1	-
chr18	64728066	64728127	ENSMUSG00000095778.1	+
chr6	95100201	95100307	ENSMUSG00000093999.1	-
chrX	15685285	15685391	ENSMUSG00000070258.1	-
chr14	122388054	122388160	ENSMUSG00000095311.1	-
chr16	36137872	36137974	ENSMUSG00000088471.1	-
chr2	63432088	63432194	ENSMUSG00000065837.1	-
chr12	4999266	4999368	ENSMUSG00000087780.1	-
chr8	53493853	53493914	ENSMUSG00000089068.1	+
chr8	97222534	97222635	ENSMUSG00000089539.1	+
chrX	128700546	128700653	ENSMUSG00000065898.1	+
chr14	118585039	118585138	ENSMUSG00000064644.1	+
chr12	54240755	54240900	ENSMUSG00000088386.1	-
chr7	91667149	91667293	ENSMUSG00000064403.1	-
chr8	22822428	22822545	ENSMUSG00000089484.1	-
chr16	18355616	18355763	ENSMUSG00000089044.1	+
chr3	85962847	85962910	ENSMUSG00000098444.1	-
chr11	24553986	24554058	ENSMUSG00000088502.1	-
chr15	52496885	52496988	ENSMUSG00000088830.1	+
chr16	82543229	82543335	ENSMUSG00000094726.1	+
chr9	66981088	66981185	ENSMUSG00000089450.1	-
chrX	36409610	36409707	ENSMUSG00000065031.1	-
chr3	86930743	86930902	ENSMUSG00000064872.1	+
chrX	165717409	165717515	ENSMUSG00000064497.1	-
chr4	39865687	39865768	ENSMUSG00000088339.1	+
chr9	95934613	95934790	ENSMUSG00000089085.1	+
chr3	96374021	96374185	ENSMUSG00000093834.1	+
chr1	136697374	136697471	ENSMUSG00000092912.1	+
chr18	20844447	20844592	ENSMUSG00000088549.1	-
chr1	134280885	134280991	ENSMUSG00000096676.1	-
chr12	77393104	77393202	ENSMUSG00000088002.1	+
chr3	33011958	33012114	ENSMUSG00000084665.1	+
chrX	151384494	151384643	ENSMUSG00000064416.1	+
chr4	155720040	155720141	ENSMUSG00000064916.1	-
chr15	73729164	73729290	ENSMUSG00000084493.1	+
chr10	79909195	79909301	ENSMUSG00000095023.1	+
chr4	124335578	124335681	ENSMUSG00000088933.1	-
chr5	70186785	70186846	ENSMUSG00000088863.1	-
chr2	126634539	126634687	ENSMUSG00000088200.1	-
chr19	15680004	15680110	ENSMUSG00000094850.1	+
chr8	53493763	53493824	ENSMUSG00000098878.1	+
chr2	27539805	27539930	ENSMUSG00000080538.1	-
chr16	38927209	38927307	ENSMUSG00000089607.1	+
chr12	12700039	12700145	ENSMUSG00000075893.1	+
chr14	48769354	48769458	ENSMUSG00000093117.1	-
chr15	63481214	63481276	ENSMUSG00000095939.1	-
chr13	46902589	46902692	ENSMUSG00000084466.1	+
chr8	77569495	77569602	ENSMUSG00000087750.1	-
chr11	70996539	70996644	ENSMUSG00000065246.1	-
chr11	26337540	26337703	ENSMUSG00000065889.1	-
chr3	58978855	58979026	ENSMUSG00000088152.1	-
chrX	75578808	75578971	ENSMUSG00000077406.1	-
chr1	171732060	171732114	ENSMUSG00000088291.1	-
chr10	111129107	111129209	ENSMUSG00000088553.1	-
chr1	20444811	20444912	ENSMUSG00000070175.1	-
chr2	18158687	18158791	ENSMUSG00000064964.1	+
chr5	9169063	9169229	ENSMUSG00000089562.1	+
chr4	138827376	138827476	ENSMUSG00000087894.1	-
chrX	74997577	74997683	ENSMUSG00000065935.1	-
chr13	120017108	120017213	ENSMUSG00000095379.1	-
chr10	86038685	86038788	ENSMUSG00000077265.1	-
chr12	54710308	54710471	ENSMUSG00000096214.1	+
chr3	45817736	45817898	ENSMUSG00000064579.1	+
chr13	31737633	31737740	ENSMUSG00000065843.1	-
chr15	53383919	53383984	ENSMUSG00000087805.2	+
chr5	30514578	30514684	ENSMUSG00000088327.1	-
chr12	32999909	33000010	ENSMUSG00000089136.1	-
chr13	16041046	16041152	ENSMUSG00000095584.1	-
chr9	22772751	22772835	ENSMUSG00000098940.1	-
chr4	44081289	44081400	ENSMUSG00000088532.1	-
chr1	95832129	95832235	ENSMUSG00000095955.1	-
chr4	127108466	127108571	ENSMUSG00000088982.1	-
chr5	99928283	99928381	ENSMUSG00000089062.1	-
chr16	48942999	48943102	ENSMUSG00000065667.1	-
chr18	55179840	55179919	ENSMUSG00000088227.1	+
chr4	150321193	150321302	ENSMUSG00000089292.1	+
chr16	62571036	62571139	ENSMUSG00000070173.1	+
chr3	68547520	68547708	ENSMUSG00000084617.1	-
chr7	130035094	130035203	ENSMUSG00000065763.1	+
chr4	63567662	63567768	ENSMUSG00000065913.1	-
chr14	57831063	57831209	ENSMUSG00000065374.1	-
chr8	60079590	60079693	ENSMUSG00000065727.1	+
chr4	132442034	132442127	ENSMUSG00000064739.1	+
chr9	45879550	45879648	ENSMUSG00000087734.1	-
chr10	87364040	87364146	ENSMUSG00000096692.1	-
chr6	129897932	129898005	ENSMUSG00000096482.1	+
chr5	79750381	79750529	ENSMUSG00000084435.1	-
chr5	22534737	22534843	ENSMUSG00000096346.1	-
chr11	5251850	5251956	ENSMUSG00000064632.1	+
chr11	69075015	69075115	ENSMUSG00000088787.1	+
chr7	45254453	45254554	ENSMUSG00000088281.1	-
chr12	116476896	116476999	ENSMUSG00000084629.1	-
chr18	43070300	43070406	ENSMUSG00000094137.1	-
chr5	130782701	130782804	ENSMUSG00000088972.2	+
chr9	75970944	75971027	ENSMUSG00000093025.1	-
chrX	155046610	155046719	ENSMUSG00000096247.1	+
chr6	48289228	48289427	ENSMUSG00000092888.1	+
chr11	72022755	72022857	ENSMUSG00000080577.1	+
chr19	36384792	36384897	ENSMUSG00000087783.1	-
chr17	55661637	55661741	ENSMUSG00000088499.1	+
chr9	20252793	20252888	ENSMUSG00000088236.1	-
chr10	75613157	75613269	ENSMUSG00000089124.1	-
chr7	116691379	116691485	ENSMUSG00000088234.1	-
chr18	52154501	52154607	ENSMUSG00000096863.1	-
chr6	107001452	107001558	ENSMUSG00000094963.1	+
chr11	101645740	101645930	ENSMUSG00000065251.1	-
chr1	61470441	61470543	ENSMUSG00000089546.1	+
chr17	35699203	35699309	ENSMUSG00000093921.1	-
chr2	128089924	128090060	ENSMUSG00000088175.1	+
chr9	70521598	70521704	ENSMUSG00000094366.1	-
chr5	106072327	106072433	ENSMUSG00000095052.1	-
chr10	128944905	128945004	ENSMUSG00000088768.1	+
chr5	110757085	110757191	ENSMUSG00000096238.1	+
chr2	80558685	80558787	ENSMUSG00000064669.1	+
chr5	86079766	86079935	ENSMUSG00000064859.1	+
chr7	66119303	66119403	ENSMUSG00000065800.1	-
chr16	21774113	21774218	ENSMUSG00000088758.1	+
chr7	73645985	73646089	ENSMUSG00000065729.1	-
chr13	30148198	30148381	ENSMUSG00000084669.1	-
chr5	150547313	150547453	ENSMUSG00000095531.1	-
chr19	4904673	4904782	ENSMUSG00000088661.1	+
chr3	104700870	104700959	ENSMUSG00000089452.1	+
chr3	146116102	146116254	ENSMUSG00000065937.1	-
chrX	43254046	43254235	ENSMUSG00000065622.1	+
chr19	25453960	25454063	ENSMUSG00000064843.1	-
chr18	38297939	38298041	ENSMUSG00000089296.1	+
chr15	76036459	76036616	ENSMUSG00000089396.1	+
chr6	42337677	42337783	ENSMUSG00000065206.1	-
chr12	54738459	54738622	ENSMUSG00000096206.1	-
chr13	23663021	23663124	ENSMUSG00000084753.1	+
chr3	83702252	83702358	ENSMUSG00000088597.1	+
chr1	128515115	128515219	ENSMUSG00000088432.1	-
chr4	132270080	132270213	ENSMUSG00000077323.1	-
chr6	130320874	130320947	ENSMUSG00000094408.1	+
chr16	89451495	89451599	ENSMUSG00000084576.1	-
chr13	93956310	93956409	ENSMUSG00000089486.1	+
chr4	95524044	95524204	ENSMUSG00000065745.1	+
chr4	25566660	25566822	ENSMUSG00000065040.1	-
chr15	30601514	30601576	ENSMUSG00000094704.1	+
chr18	63584736	63584842	ENSMUSG00000088656.1	+
chr7	81669728	81669835	ENSMUSG00000088057.1	+
chr5	40405750	40405929	ENSMUSG00000089393.1	-
chr19	14718358	14718480	ENSMUSG00000084675.1	-
chr15	18009263	18009369	ENSMUSG00000096339.1	-
chr8	105172496	105172602	ENSMUSG00000064494.1	+
chrX	45795361	45795467	ENSMUSG00000064464.1	-
chr10	31163526	31163632	ENSMUSG00000095305.1	-
chr1	69955004	69955129	ENSMUSG00000080524.1	-
chr7	12930774	12930880	ENSMUSG00000065006.1	+
chrX	72611803	72611909	ENSMUSG00000065199.1	+
chr11	51964382	51964489	ENSMUSG00000093325.1	+
chr11	18738695	18738796	ENSMUSG00000065384.1	+
chr17	13120531	13120695	ENSMUSG00000095980.1	-
chr5	86916216	86916322	ENSMUSG00000096303.1	-
chr4	25819671	25819773	ENSMUSG00000065048.1	-
chr7	38792638	38792744	ENSMUSG00000094419.1	+
chr13	24486662	24486764	ENSMUSG00000089413.1	-
chr5	55303420	55303581	ENSMUSG00000065795.1	-
chr17	43698363	43698552	ENSMUSG00000084474.1	+
chr4	124697505	124697607	ENSMUSG00000088067.1	-
chr11	87694482	87694581	ENSMUSG00000087792.1	-
chr3	63770212	63770309	ENSMUSG00000088360.1	+
chr14	106261123	106261253	ENSMUSG00000065193.1	-
chr14	120798853	120798936	ENSMUSG00000084476.1	+
chr1	98049822	98049928	ENSMUSG00000096085.1	+
chr18	46900801	46900907	ENSMUSG00000094292.1	+
chr17	28989977	28990148	ENSMUSG00000084632.1	-
chr1	45685456	45685562	ENSMUSG00000095121.1	-
chr9	20477865	20477978	ENSMUSG00000088622.1	+
chr4	36756048	36756154	ENSMUSG00000087843.1	+
chr18	49581696	49581849	ENSMUSG00000088904.1	-
chr17	50916925	50917041	ENSMUSG00000084583.1	-
chr6	103588704	103588765	ENSMUSG00000088265.1	+
chr1	74212813	74212919	ENSMUSG00000094768.1	+
chr11	101627366	101627556	ENSMUSG00000065767.1	+
chr17	80104937	80105042	ENSMUSG00000088276.1	+
chr12	116173313	116173419	ENSMUSG00000065685.1	+
chr5	118148788	118148894	ENSMUSG00000088293.1	-
chr1	178636905	178637071	ENSMUSG00000064967.1	+
chr18	67174885	67174991	ENSMUSG00000095972.1	-
chr15	36205260	36205322	ENSMUSG00000088201.1	+
chr7	119969821	119969921	ENSMUSG00000088172.1	+
chrX	146293776	146293835	ENSMUSG00000088050.1	-
chr16	36386190	36386294	ENSMUSG00000094639.1	+
chr5	29481525	29481631	ENSMUSG00000093875.1	-
chr18	57669453	57669558	ENSMUSG00000088776.1	-
chr5	86928903	86929008	ENSMUSG00000075983.1	-
chr7	38613149	38613253	ENSMUSG00000095537.1	+
chr1	118681821	118681950	ENSMUSG00000088363.1	+
chr11	41034968	41035123	ENSMUSG00000065916.1	-
chr16	47506319	47506425	ENSMUSG00000087732.1	-
chr4	15383148	15383254	ENSMUSG00000096738.1	+
chr11	18802254	18802422	ENSMUSG00000089390.1	-
chr5	52343118	52343222	ENSMUSG00000088981.1	-
