name	chrom	strand	txStart	txEnd	name2	TSS
NM_001291930	chr1	-	134199214	134235457	Adora1	134235457
NM_001039510	chr1	-	134199214	134235457	Adora1	134235457
NM_001291928	chr1	-	134199214	134234856	Adora1	134234856
NM_001282945	chr1	-	134199214	134235457	Adora1	134235457
NM_001008533	chr1	-	134199214	134235457	Adora1	134235457
NM_001290392	chr1	-	8359738	9299877	Sntg1	9299877
NM_001290390	chr1	-	8359738	9299877	Sntg1	9299877
NM_175642	chr1	-	25067475	25829707	Adgrb3	25829707
NM_009805	chr1	+	58713285	58733227	Cflar	58713285
NM_001290393	chr1	-	8359738	9299877	Sntg1	9299877
NM_001289704	chr1	+	58711490	58758882	Cflar	58711490
NM_027671	chr1	-	8359738	9299877	Sntg1	9299877
NM_001293804	chr1	+	58711490	58758882	Cflar	58711490
NM_008922	chr1	-	33453807	33669794	Prim2	33669794
NM_207653	chr1	+	58713285	58758882	Cflar	58713285
NR_149255	chr1	+	58713285	58733227	Cflar	58713285
NM_001355056	chr1	+	58713285	58758882	Cflar	58713285
NM_178884	chr1	-	75485824	75506452	Obsl1	75506452
NM_001310679	chr1	-	75496337	75506452	Obsl1	75506452
NM_027677	chr1	+	125676995	125873861	Gpr39	125676995
NM_001195816	chr1	-	175962305	176213942	Pld5	176213942
NR_040472	chr1	-	184527840	184557691	1700112H15Rik	184557691
NM_001357845	chr1	-	175962305	176213942	Pld5	176213942
NM_001357847	chr1	-	175962305	176213942	Pld5	176213942
NM_181546	chr1	-	192891233	193035775	Syt14	193035775
NM_033652	chr1	+	167689557	167848733	Lmx1a	167689557
NM_176916	chr1	-	175962305	176275312	Pld5	176275312
NM_001301370	chr1	-	192891233	193035775	Syt14	193035775
NM_001357844	chr1	-	175962305	176275312	Pld5	176275312
NM_001357846	chr1	-	175962305	176275312	Pld5	176275312
NM_177834	chr1	-	10324718	10719945	Cpa6	10719945
NM_001289497	chr1	-	10324718	10719945	Cpa6	10719945
NM_001160371	chr1	+	11414104	11601821	A830018L16Rik	11414104
NM_001160370	chr1	+	11414104	11601821	A830018L16Rik	11414104
NM_177173	chr1	+	11414104	11975902	A830018L16Rik	11414104
NM_001310451	chr1	+	11414104	11975902	A830018L16Rik	11414104
NM_145381	chr1	-	13625899	13660509	Lactb2	13660509
NM_001160369	chr1	+	11414104	11975902	A830018L16Rik	11414104
NM_027974	chr1	+	20951625	20990841	Efhc1	20951625
NM_133235	chr1	+	32172721	32658569	Khdrbs2	32172721
NM_001029878	chr1	-	38794508	38821215	Lonrf2	38821215
NR_040465	chr1	-	39842427	39847330	1700066B17Rik	39847330
NM_146107	chr1	-	36699201	36709925	Actr1b	36709925
NM_001160386	chr1	+	46066737	46373550	Dnah7b	46066737
NM_053107	chr1	+	42952871	43035449	Gpr45	42952871
NR_151585	chr1	+	49244615	49340431	C230029F24Rik	49244615
NM_001163314	chr1	-	54472999	54557684	Pgap1	54557684
NM_001252070	chr1	-	53397001	53706784	Dnah7a	53706784
NM_001114663	chr1	+	55405945	55754285	Plcl1	55405945
NM_007561	chr1	+	59764278	59878081	Bmpr2	59764278
NM_001081050	chr1	+	61638823	62642284	Pard3b	61638823
NR_003202	chr1	-	73391384	73407569	Pinc	73407569
NR_040605	chr1	+	73398967	73430779	D530049I02Rik	73398967
NM_029160	chr1	+	69826969	70725132	Spag16	69826969
NM_001310662	chr1	-	74435509	74505821	Usp37	74505821
NM_009533	chr1	+	72307420	72394953	Xrcc5	72307420
NM_001357520	chr1	+	72307420	72394953	Xrcc5	72307420
NM_176972	chr1	-	74435509	74544286	Usp37	74544286
NM_175210	chr1	-	71243089	71414910	Abca12	71414910
NM_025728	chr1	+	69951614	70725132	Spag16	69951614
NM_001357519	chr1	+	72307420	72394953	Xrcc5	72307420
NM_010154	chr1	-	68032186	69108059	Erbb4	69108059
NM_175291	chr1	-	80501067	80758553	Dock10	80758553
NM_201641	chr1	+	88055410	88220002	Ugt1a10	88055410
NM_153530	chr1	+	86703803	87050097	Dis3l2	86703803
NM_027921	chr1	-	84906704	84935083	Slc16a14	84935083
NM_001172157	chr1	+	86703803	87050097	Dis3l2	86703803
NM_133816	chr1	+	89070461	89153793	Sh3bp4	89070461
NM_201644	chr1	+	88070778	88220002	Ugt1a9	88070778
NM_080850	chr1	-	93309436	93342788	Pask	93342788
NM_001199213	chr1	+	106938956	106957081	Serpinb12	106938956
NM_011800	chr1	+	104768519	104995481	Cdh20	104768519
NM_027971	chr1	+	106934448	106957081	Serpinb12	106934448
NM_001316743	chr1	+	109982899	110139903	Cdh7	109982899
NM_001077425	chr1	+	115685136	116580674	Cntnap5a	115685136
NM_001316744	chr1	+	109983301	110139903	Cdh7	109983301
NM_172853	chr1	+	109983722	110139903	Cdh7	109983722
NM_001359346	chr1	+	118389057	118609462	Clasp1	118389057
NM_001359328	chr1	+	118389057	118609462	Clasp1	118389057
NM_001293301	chr1	+	118389057	118609462	Clasp1	118389057
NM_001293300	chr1	+	118389057	118609462	Clasp1	118389057
NM_029709	chr1	+	118389057	118609462	Clasp1	118389057
NM_199021	chr1	-	123332137	124045559	Dpp10	124045559
NM_001359331	chr1	+	118389057	118609462	Clasp1	118389057
NM_001359334	chr1	+	118389057	118609462	Clasp1	118389057
NM_001359335	chr1	+	118389057	118609462	Clasp1	118389057
NM_001359336	chr1	+	118389057	118609462	Clasp1	118389057
NM_001359337	chr1	+	118389057	118609462	Clasp1	118389057
NM_001359338	chr1	+	118389057	118609462	Clasp1	118389057
NM_001359339	chr1	+	118389057	118609462	Clasp1	118389057
NM_001359340	chr1	+	118389057	118609462	Clasp1	118389057
NM_001359342	chr1	+	118389057	118609462	Clasp1	118389057
NM_001359343	chr1	+	118389057	118609462	Clasp1	118389057
NM_001359345	chr1	+	118389057	118609462	Clasp1	118389057
NM_001359347	chr1	+	118389057	118609462	Clasp1	118389057
NM_001359341	chr1	+	118389057	118609462	Clasp1	118389057
NM_001359329	chr1	+	118389057	118609462	Clasp1	118389057
NM_001359330	chr1	+	118389057	118609462	Clasp1	118389057
NM_008551	chr1	-	131053700	131097843	Mapkapk2	131097843
NM_178690	chr1	+	127868772	127943876	Rab3gap1	127868772
NM_008795	chr1	-	132113546	132139685	Cdk18	132139685
NM_172485	chr1	+	129273303	130219278	Thsd7b	129273303
NM_145417	chr1	-	135262698	135284084	Rnpep	135284084
NM_001347110	chr1	-	136268122	136346104	Camsap2	136346104
NM_001159624	chr1	-	135262698	135284084	Rnpep	135284084
NM_009791	chr1	+	139454772	139494088	Aspm	139454772
NM_001347109	chr1	-	136268122	136346104	Camsap2	136346104
NM_001081027	chr1	+	140246256	140610261	Kcnt2	140246256
NM_153539	chr1	+	146495665	146902472	Brinp3	146495665
NM_001145807	chr1	+	146497686	146902472	Brinp3	146497686
NM_145991	chr1	-	143603275	143702893	Cdc73	143702893
NM_001357571	chr1	+	146495628	146902471	Brinp3	146495628
NM_008869	chr1	-	149829618	149961290	Pla2g4a	149961290
NM_001357572	chr1	+	146497686	146902471	Brinp3	146497686
NM_197990	chr1	-	151884523	152090320	1700025G04Rik	152090320
NM_177644	chr1	-	157135182	157412595	Rasal2	157412595
NM_021433	chr1	+	155158702	155203517	Stx6	155158702
NM_175460	chr1	+	152955100	153119261	Nmnat2	152955100
NM_207583	chr1	-	158245268	158356260	Brinp2	158356260
NM_013862	chr1	-	160256571	160792938	Rabgap1l	160792938
NM_178593	chr1	-	165648944	165708094	Rcsd1	165708094
NM_001038846	chr1	-	165648944	165708094	Rcsd1	165708094
NR_027666	chr1	-	170917593	170927583	Fcrla	170927583
NM_011880	chr1	-	175059075	175492545	Rgs7	175492545
NM_001357129	chr1	-	175059075	175492545	Rgs7	175492545
NM_001347195	chr1	-	175059075	175492545	Rgs7	175492545
NM_145141	chr1	-	170917593	170927583	Fcrla	170927583
NM_001160215	chr1	-	170917593	170927583	Fcrla	170927583
NM_001199003	chr1	-	175059075	175492545	Rgs7	175492545
NM_001081175	chr1	+	180330475	180423659	Itpkb	180330475
NM_001160211	chr1	+	181352627	181460641	Cnih3	181352627
NM_173378	chr1	+	182409166	182462436	Trp53bp2	182409166
NM_028408	chr1	+	181352627	181460641	Cnih3	181352627
NM_011785	chr1	-	177022114	177248767	Akt3	177248767
NM_027188	chr1	-	178951959	179518041	Smyd3	179518041
NM_001160212	chr1	+	181352627	181460641	Cnih3	181352627
NR_030555	chr1	+	185537335	185988795	Mir297c	185537335
NM_001357534	chr1	+	187651757	188214885	Esrrg	187651757
NM_001329107	chr1	-	186622791	186705989	Tgfb2	186705989
NM_021408	chr1	+	188262837	188965039	Ush2a	188262837
NM_001243792	chr1	+	187609005	188214884	Esrrg	187609005
NM_008976	chr1	+	189728267	189876693	Ptpn14	189728267
NM_009367	chr1	-	186622791	186705989	Tgfb2	186705989
NM_178775	chr1	-	190772878	190911770	Rps6kc1	190911770
NM_001357535	chr1	+	187652240	188214885	Esrrg	187652240
NR_015566	chr1	+	195017398	195037908	A330023F24Rik	195017398
NM_001011874	chr1	-	3214481	3671498	Xkr4	3671498
NM_001290372	chr1	-	4909575	5018734	Rgs20	5018734
NM_021374	chr1	-	4909575	5019539	Rgs20	5019539
NM_001195662	chr1	-	4290845	4409241	Rp1	4409241
NM_001177795	chr1	-	4909575	5070285	Rgs20	5070285
NM_001310442	chr1	+	5083085	5162549	Atp6v1h	5083085
NM_133826	chr1	+	5083085	5162549	Atp6v1h	5083085
NR_045188	chr1	+	6730050	6860940	St18	6730050
NM_173868	chr1	+	6730050	6860940	St18	6730050
NR_045189	chr1	+	6730050	6860940	St18	6730050
NM_001244693	chr1	+	6487230	6860940	St18	6487230
NM_001244692	chr1	+	6487230	6860940	St18	6487230
NR_015470	chr1	-	9560832	9631092	2610203C22Rik	9631092
NM_001285425	chr1	-	9960162	9967485	Tcf24	9967485
NM_026493	chr1	+	10038217	10136768	Cspp1	10038217
NM_175236	chr1	+	9547947	9577970	Adhfe1	9547947
NM_001102430	chr1	-	10137506	10232670	Arfgef1	10232670
NM_177547	chr1	+	9798129	9902568	Sgk3	9798129
NM_001290397	chr1	-	9667410	9700209	Mybl1	9700209
NM_133220	chr1	+	9798129	9902568	Sgk3	9798129
NM_008651	chr1	-	9667410	9700209	Mybl1	9700209
NM_001357378	chr1	+	9547947	9577970	Adhfe1	9547947
NM_001357377	chr1	+	9547947	9577970	Adhfe1	9547947
NM_001357376	chr1	+	9547947	9577970	Adhfe1	9547947
NR_030645	chr1	-	10708386	10865874	Mir467e	10865874
NM_029525	chr1	+	10993464	11303682	Prex2	10993464
NM_001033636	chr1	+	11263962	11303682	Prex2	11263962
NM_172841	chr1	-	12866549	12991135	Slco5a1	12991135
NM_001198566	chr1	+	12692429	12860372	Sulf1	12692429
NM_001198565	chr1	+	12692429	12860372	Sulf1	12692429
NM_172294	chr1	+	12718544	12860372	Sulf1	12718544
NM_001302702	chr1	-	13139104	13372429	Ncoa2	13372429
NM_008678	chr1	-	13139104	13374083	Ncoa2	13374083
NM_001310459	chr1	-	14168957	14310199	Eya1	14310199
NM_001252192	chr1	-	14168957	14310199	Eya1	14310199
NM_010164	chr1	-	14168957	14310199	Eya1	14310199
NM_001098528	chr1	+	15312451	15714214	Kcnb2	15312451
NM_026456	chr1	-	16642764	16656865	Eloc	16656865
NM_001310470	chr1	-	16641724	16657119	Eloc	16657119
NM_025303	chr1	-	16228809	16519302	Stau2	16519302
NM_133832	chr1	+	16105881	16132550	Rdh10	16105881
NM_001347045	chr1	-	16344290	16519302	Stau2	16519302
NM_001347044	chr1	-	16344290	16519115	Stau2	16519115
NM_001111272	chr1	-	16228809	16519302	Stau2	16519302
NM_001033288	chr1	-	15853861	15892722	Sbspon	15892722
NM_020604	chr1	-	16994939	17097889	Jph1	17097889
NR_130314	chr1	-	17676026	17727646	Gm16070	17727646
NR_002879	chr1	-	18210052	18223564	Defb44-ps	18223564
NM_153154	chr1	+	19103021	19168587	Tfap2d	19103021
NM_153179	chr1	-	20057778	20618057	Pkhd1	20618057
NM_001310477	chr1	-	21398398	21962650	Kcnq5	21962650
NM_001160139	chr1	-	21398402	21961942	Kcnq5	21961942
NM_023872	chr1	-	21398402	21961942	Kcnq5	21961942
NM_053270	chr1	-	22288421	22432843	Rims1	22432843
NM_183018	chr1	-	22288421	22432843	Rims1	22432843
NM_001012625	chr1	-	22468190	22805724	Rims1	22805724
NM_001012624	chr1	-	22468190	22805724	Rims1	22805724
NM_001012623	chr1	-	22288421	22432843	Rims1	22432843
NM_001012623	chr1	-	22468190	22805724	Rims1	22805724
NR_110972	chr1	-	23844824	23909736	Smap1	23909736
NM_028534	chr1	-	23845624	23922381	Smap1	23922381
NM_001290683	chr1	-	23845624	23909736	Smap1	23909736
NR_151529	chr1	+	23574586	23596650	Gm28822	23574586
NM_001357395	chr1	-	23845624	23922381	Smap1	23922381
NM_007740	chr1	+	24177609	24252738	Col9a1	24177609
NM_007733	chr1	-	24257682	24587437	Col19a1	24587437
NM_001290691	chr1	+	24195202	24252738	Col9a1	24195202
NR_136907	chr1	-	31019187	31096454	Gm29669	31096454
NR_033445	chr1	-	31141077	31222656	4931428L18Rik	31222656
NM_153601	chr1	+	31176434	31204725	Lgsn	31176434
NM_133833	chr1	+	34011824	34308662	Dst	34011824
NM_134448	chr1	+	34011824	34308662	Dst	34011824
NM_011206	chr1	+	34459745	34473779	Ptpn18	34459745
NM_001276764	chr1	+	33908224	34308662	Dst	33908224
NM_175421	chr1	+	34849958	34871557	Plekhb2	34849958
NM_001357425	chr1	+	34849988	34879554	Plekhb2	34849988
NM_145516	chr1	+	34849958	34879585	Plekhb2	34849958
NM_027957	chr1	-	36562695	36593332	Fam178b	36593332
NM_001126046	chr1	-	36562695	36683183	Fam178b	36683183
NM_001310517	chr1	-	36423185	36445271	Lman2l	36445271
NM_198899	chr1	-	36140027	36244302	Uggt1	36244302
NM_001013374	chr1	-	36423185	36445271	Lman2l	36445271
NM_018872	chr1	-	36792188	36939527	Tmem131	36939527
NM_001290801	chr1	-	37439339	37536404	Mgat4a	37536404
NM_173870	chr1	-	37439339	37541016	Mgat4a	37541016
NR_024017	chr1	-	37485850	37488605	4930594C11Rik	37488605
NM_028096	chr1	-	37611675	37719811	2010300C02Rik	37719811
NM_001290797	chr1	+	37299837	37410740	Inpp4a	37299837
NM_030266	chr1	+	37299837	37410740	Inpp4a	37299837
NM_009918	chr1	+	37219204	37263384	Cnga3	37219204
NM_001282010	chr1	+	37218277	37263384	Cnga3	37218277
NM_001290814	chr1	-	38175990	38627244	Aff3	38627244
NM_026913	chr1	-	37878887	37890411	Mitd1	37890411
NM_198303	chr1	+	37998009	38055579	Eif5b	37998009
NR_151587	chr1	+	38132082	38159892	Gm5099	38132082
NM_001356262	chr1	-	37874800	37890411	Mitd1	37890411
NM_001357522	chr1	-	39373312	39478755	Tbc1d8	39478755
NM_018775	chr1	-	39371495	39478747	Tbc1d8	39478747
NM_001145660	chr1	-	39665300	39720989	Rfx8	39720989
NM_001357521	chr1	-	39371495	39478755	Tbc1d8	39478755
NM_008719	chr1	+	39194271	39363240	Npas2	39194271
NM_001252201	chr1	+	39900912	40026310	Map4k4	39900912
NM_001033289	chr1	+	40681711	40768885	Slc9a2	40681711
NM_001252200	chr1	+	39900912	40026310	Map4k4	39900912
NM_001360801	chr1	+	40084713	40125230	Il1r2	40084713
NM_001360800	chr1	+	40086092	40125230	Il1r2	40086092
NM_008362	chr1	+	40225079	40316177	Il1r1	40225079
NM_008696	chr1	+	39900912	40026310	Map4k4	39900912
NM_010555	chr1	+	40084713	40125230	Il1r2	40084713
NM_001252202	chr1	+	39900912	40026310	Map4k4	39900912
NM_023514	chr1	+	42851232	42905683	Mrps9	42851232
NM_026430	chr1	-	43750230	43827708	Uxs1	43827708
NM_010879	chr1	+	43445750	43570518	Nck2	43445750
NM_028450	chr1	+	44551670	44796836	Gulp1	44551670
NM_011729	chr1	+	44147743	44181260	Ercc5	44147743
NM_007737	chr1	-	45374330	45503282	Col5a2	45503282
NM_001356417	chr1	-	46807543	46925776	Slc39a10	46925776
NM_001310335	chr1	+	46425517	46807477	Dnah7c	46425517
NR_045151	chr1	-	51218385	51333779	9330175M20Rik	51333779
NM_019790	chr1	+	50927522	51187270	Tmeff2	50927522
NM_011487	chr1	+	52008239	52107189	Stat4	52008239
NM_001308266	chr1	+	51987147	52107189	Stat4	51987147
NM_001161817	chr1	-	51749757	51915978	Myo1b	51915978
NR_151621	chr1	-	51509504	51596718	Gm17767	51596718
NM_001290982	chr1	-	51749757	51915978	Myo1b	51915978
NM_010863	chr1	-	51749757	51915978	Myo1b	51915978
NM_001081081	chr1	-	52163449	52233232	Gls	52233232
NM_178081	chr1	-	52659985	52727318	Mfsd6	52727318
NM_001290984	chr1	-	53344616	53352752	Asnsd1	53352752
NM_133728	chr1	-	53344616	53352752	Asnsd1	53352752
NM_133829	chr1	-	52656304	52727318	Mfsd6	52727318
NM_153556	chr1	-	53189188	53297028	Pms1	53297028
NM_001357464	chr1	-	52656285	52727358	Mfsd6	52727358
NM_030025	chr1	+	54250682	54368727	Ccdc150	54250682
NM_172655	chr1	-	53930814	54195034	Hecw2	54195034
NM_001001883	chr1	-	53806873	54195034	Hecw2	54195034
NM_028713	chr1	-	55170159	55226782	Rftn2	55226782
NM_001356287	chr1	-	55170159	55226782	Rftn2	55226782
NM_001081433	chr1	-	54645339	54926387	Ankrd44	54926387
NM_029267	chr1	-	55300068	55363469	Boll	55363469
NM_001356288	chr1	-	55170159	55226782	Rftn2	55226782
NM_001113367	chr1	-	55300068	55362707	Boll	55362707
NR_045837	chr1	+	55931240	55972098	9130227L01Rik	55931240
NM_139146	chr1	-	56793980	56971334	Satb2	56971334
NM_001358581	chr1	-	56793980	56978650	Satb2	56978650
NM_001081181	chr1	+	57406547	57415958	Maip1	57406547
NM_001358580	chr1	-	56793980	56980248	Satb2	56980248
NM_022988	chr1	+	58445150	58462276	Nif3l1	58445150
NM_025597	chr1	+	58586396	58595964	Ndufb3	58586396
NM_144882	chr1	+	57774860	57948397	Spats2l	57774860
NM_009676	chr1	+	58029968	58106410	Aox1	58029968
NM_001164566	chr1	+	57845570	57948397	Spats2l	57845570
NM_001008419	chr1	+	58278325	58379264	Aox2	58278325
NM_023617	chr1	+	58113135	58200452	Aox3	58113135
NR_151686	chr1	+	58973521	58995121	Stradb	58973521
NM_001361413	chr1	-	59100583	59120408	Tmem237	59120408
NM_172656	chr1	+	58973521	58995121	Stradb	58973521
NM_001037812	chr1	-	59100583	59119806	Tmem237	59119806
NM_001033449	chr1	-	59100583	59120096	Tmem237	59120096
NM_001316694	chr1	-	59989067	60043122	Ica1l	60043122
NM_173444	chr1	+	60180598	60334705	Nbeal1	60180598
NM_027407	chr1	-	59989067	60043122	Ica1l	60043122
NM_001045513	chr1	-	60483184	60566765	Raph1	60566765
NM_001198571	chr1	+	60409618	60481163	Abi2	60409618
NM_001198570	chr1	+	60409618	60481163	Abi2	60409618
NM_001316695	chr1	-	60020790	60043122	Ica1l	60043122
NM_198127	chr1	+	60409618	60481163	Abi2	60409618
NM_001357296	chr1	-	59989067	60043122	Ica1l	60043122
